tsec,soc
0,0.923825
1,0.923813696
2,0.923803822
3,0.923794464
4,0.923785001
5,0.923775617
6,0.923766789
7,0.923758421
8,0.923750868
9,0.923744882
10,0.923738914
11,0.92373316
12,0.923728274
13,0.923724133
14,0.923720208
15,0.923716141
16,0.923711936
17,0.923707828
18,0.923703053
19,0.923698388
20,0.923694382
21,0.923690387
22,0.923686186
23,0.923683485
24,0.923681439
25,0.923679025
26,0.923676242
27,0.923673064
28,0.923668788
29,0.923664539
30,0.923660498
31,0.923656368
32,0.92365232
33,0.923648712
34,0.923645394
35,0.923642104
36,0.923638819
37,0.923635538
38,0.923632259
39,0.923628982
40,0.923625702
41,0.92362242
42,0.923619139
43,0.923615853
44,0.923612564
45,0.923609282
46,0.92360601
47,0.923602748
48,0.923599492
49,0.923596228
50,0.923592953
51,0.923589684
52,0.923586409
53,0.923583125
54,0.923579859
55,0.923576613
56,0.923573375
57,0.923570156
58,0.923566975
59,0.923563831
60,0.923560702
61,0.923557572
62,0.923554437
63,0.923551297
64,0.923548164
65,0.923545038
66,0.923541914
67,0.923538791
68,0.923535667
69,0.923532543
70,0.923529421
71,0.923526302
72,0.923523182
73,0.923520063
74,0.92351695
75,0.923513834
76,0.923510712
77,0.923507588
78,0.92350446
79,0.923501327
80,0.923498194
81,0.923495069
82,0.923491944
83,0.92348882
84,0.9234857
85,0.923482581
86,0.923479467
87,0.923476352
88,0.923473237
89,0.923470125
90,0.923467015
91,0.923463902
92,0.923460783
93,0.92345766
94,0.923454541
95,0.923451433
96,0.923448327
97,0.923445221
98,0.923442117
99,0.923439005
100,0.923435891
101,0.923432785
102,0.923429681
103,0.923426576
104,0.923423474
105,0.923420376
106,0.92341728
107,0.923414183
108,0.923411084
109,0.923407974
110,0.923404846
111,0.923401724
112,0.923398621
113,0.923395524
114,0.923392405
115,0.923389248
116,0.923386075
117,0.923382907
118,0.923379741
119,0.92337658
120,0.923373375
121,0.923369774
122,0.923365455
123,0.923360742
124,0.923355252
125,0.923348646
126,0.923341753
127,0.923333919
128,0.923325337
129,0.923316123
130,0.92330568
131,0.923294275
132,0.923282645
133,0.923271049
134,0.923259309
135,0.923247299
136,0.923234863
137,0.92322439
138,0.923215688
139,0.923206722
140,0.923196951
141,0.923186156
142,0.923176253
143,0.923167489
144,0.923158996
145,0.923150695
146,0.923142384
147,0.923134043
148,0.923125718
149,0.923117386
150,0.923109027
151,0.923100659
152,0.923092265
153,0.923083867
154,0.923075491
155,0.923067108
156,0.923058715
157,0.923050323
158,0.92304191
159,0.923034009
160,0.923026682
161,0.923019939
162,0.923013704
163,0.923008164
164,0.923003776
165,0.923000702
166,0.922997687
167,0.922994679
168,0.92299167
169,0.922988664
170,0.922985667
171,0.922982664
172,0.922979661
173,0.922976652
174,0.922973644
175,0.92297064
176,0.92296764
177,0.922964623
178,0.922961616
179,0.922958593
180,0.922955568
181,0.922952519
182,0.922949484
183,0.922946473
184,0.922943458
185,0.922940443
186,0.922937422
187,0.922934401
188,0.922931376
189,0.922928366
190,0.922925351
191,0.92292233
192,0.92291931
193,0.922916303
194,0.922913286
195,0.922910277
196,0.922907264
197,0.922904247
198,0.922901232
199,0.922898228
200,0.922895219
201,0.922892205
202,0.922889192
203,0.922886172
204,0.922883166
205,0.922880159
206,0.922877145
207,0.922874139
208,0.922871133
209,0.922868128
210,0.922865133
211,0.92286213
212,0.92285913
213,0.92285613
214,0.92285313
215,0.922850133
216,0.922847133
217,0.922844128
218,0.922841125
219,0.92283812
220,0.92283512
221,0.922832128
222,0.92282912
223,0.922826123
224,0.922823121
225,0.92282012
226,0.9228171
227,0.922814094
228,0.922811092
229,0.922808112
230,0.922805134
231,0.922802158
232,0.922799183
233,0.922796219
234,0.922793252
235,0.922790283
236,0.922787311
237,0.922784344
238,0.922781386
239,0.922778417
240,0.922775442
241,0.922772483
242,0.922769513
243,0.922766549
244,0.92276359
245,0.922760621
246,0.922757649
247,0.922754686
248,0.922751728
249,0.922748764
250,0.922745803
251,0.92274284
252,0.922739888
253,0.922736933
254,0.92273398
255,0.922731017
256,0.922728063
257,0.922725119
258,0.92272215
259,0.922719181
260,0.922716212
261,0.922713262
262,0.922710305
263,0.922707339
264,0.922704379
265,0.922701435
266,0.922698486
267,0.922695528
268,0.92269255
269,0.922689598
270,0.922686649
271,0.922683706
272,0.922680752
273,0.9226778
274,0.922674849
275,0.922671903
276,0.922668952
277,0.922665998
278,0.922663055
279,0.922660103
280,0.922657137
281,0.92265417
282,0.9226512
283,0.922648233
284,0.922645263
285,0.922642294
286,0.922639335
287,0.922636374
288,0.922633404
289,0.922630435
290,0.922627478
291,0.922624513
292,0.922621555
293,0.922618595
294,0.922615643
295,0.92261268
296,0.922609714
297,0.922606755
298,0.922603795
299,0.922600839
300,0.922597873
301,0.922594911
302,0.922591939
303,0.922588961
304,0.922585996
305,0.92258303
306,0.922580074
307,0.922577111
308,0.922574149
309,0.922571171
310,0.922568209
311,0.922565243
312,0.922562285
313,0.922559321
314,0.922556354
315,0.922553396
316,0.922550433
317,0.922547468
318,0.922544499
319,0.922541529
320,0.922538571
321,0.922535613
322,0.922532652
323,0.922529683
324,0.922526719
325,0.922523763
326,0.922520814
327,0.922517859
328,0.922514908
329,0.922511964
330,0.922509016
331,0.922506073
332,0.922503125
333,0.922500186
334,0.922497249
335,0.922494304
336,0.922491373
337,0.922488436
338,0.922485511
339,0.922482569
340,0.92247963
341,0.922476696
342,0.922473754
343,0.922470826
344,0.922467898
345,0.922464975
346,0.922462044
347,0.922459116
348,0.922456179
349,0.922453222
350,0.922450257
351,0.922447254
352,0.922444011
353,0.922440012
354,0.922433193
355,0.922421881
356,0.92240762
357,0.922394817
358,0.922383181
359,0.922360012
360,0.922326716
361,0.922303829
362,0.922289989
363,0.922273097
364,0.922257642
365,0.922250069
366,0.922243325
367,0.922228572
368,0.922207765
369,0.922192733
370,0.922187213
371,0.922182847
372,0.922168802
373,0.922142415
374,0.922113909
375,0.922089881
376,0.922073082
377,0.922065645
378,0.92206164
379,0.922057805
380,0.92205378
381,0.92203824
382,0.922023768
383,0.922019437
384,0.922014863
385,0.922010506
386,0.922006125
387,0.922001598
388,0.921996231
389,0.921986307
390,0.921976499
391,0.921963759
392,0.921941994
393,0.921918592
394,0.921900816
395,0.921893417
396,0.921889821
397,0.9218863
398,0.921882911
399,0.921879533
400,0.921875525
401,0.921864056
402,0.92185335
403,0.921849187
404,0.921845709
405,0.921841905
406,0.921837944
407,0.92183435
408,0.921830655
409,0.921827001
410,0.921823371
411,0.921819693
412,0.9218157
413,0.921811861
414,0.92180756
415,0.921799404
416,0.921785927
417,0.921771174
418,0.921754215
419,0.921742321
420,0.921732269
421,0.921718404
422,0.921709184
423,0.921698116
424,0.921684678
425,0.921652125
426,0.921627222
427,0.921623827
428,0.921620234
429,0.921616662
430,0.921613046
431,0.921606569
432,0.921589962
433,0.921551483
434,0.921515542
435,0.921504223
436,0.921497855
437,0.921490009
438,0.92148154
439,0.921470141
440,0.921458888
441,0.921445108
442,0.921425813
443,0.92140335
444,0.921380686
445,0.921351131
446,0.921310514
447,0.921285985
448,0.92127732
449,0.92126886
450,0.921260362
451,0.921241041
452,0.921168858
453,0.921055112
454,0.920937336
455,0.920821018
456,0.92067979
457,0.920589467
458,0.920580352
459,0.92057203
460,0.920563689
461,0.920555259
462,0.920546809
