tsec,soc
0,0.99
1,0.99
2,0.99
3,0.99
4,0.99
5,0.99
6,0.989999462
7,0.989996324
8,0.989996324
9,0.989996324
10,0.989996007
11,0.989990588
12,0.989990204
13,0.989990204
14,0.989990204
15,0.989985317
16,0.989972442
17,0.989959496
18,0.989946842
19,0.989934658
20,0.989922975
21,0.989919915
22,0.989919915
23,0.989919915
24,0.989916922
25,0.989904844
26,0.98989579
27,0.989887247
28,0.989883047
29,0.989882547
30,0.989882547
31,0.989889132
32,0.989897527
33,0.989905965
34,0.989913934
35,0.989921709
36,0.989929133
37,0.989936261
38,0.989942835
39,0.989953161
40,0.989972779
41,0.990033346
42,0.99009727
43,0.990158353
44,0.990212819
45,0.990267446
46,0.990322109
47,0.990376701
48,0.990431236
49,0.990483449
50,0.990533059
51,0.990556356
52,0.990587161
53,0.990626305
54,0.990657603
55,0.990693725
56,0.990788414
57,0.990885102
58,0.990956526
59,0.991009334
60,0.991059007
61,0.991127508
62,0.991218295
63,0.991333797
64,0.991408975
65,0.991458184
66,0.991487632
67,0.991521625
68,0.991565738
69,0.991571473
70,0.991568279
71,0.991564973
72,0.991561528
73,0.991558076
74,0.991554639
75,0.991551216
76,0.991547786
77,0.99154435
78,0.991540919
79,0.991537486
80,0.991534053
81,0.991530626
82,0.991522215
83,0.991512369
84,0.991504926
85,0.991498614
86,0.991491428
87,0.991481668
88,0.991473506
89,0.991468016
90,0.991464238
91,0.991460281
92,0.991454898
93,0.991448946
94,0.991441404
95,0.991438997
96,0.991438997
97,0.991438997
98,0.991438997
99,0.991438997
100,0.991438043
101,0.991438043
102,0.991438043
103,0.991438043
104,0.991438043
105,0.991436695
106,0.991228919
107,0.990857096
108,0.990665749
109,0.990641968
110,0.990641968
111,0.990641968
112,0.990641968
113,0.990641968
114,0.990641968
115,0.990641968
116,0.990641968
117,0.990641968
118,0.990735697
119,0.990899268
120,0.991027844
121,0.99109675
122,0.991113568
123,0.991130982
124,0.99114171
125,0.991142373
126,0.991174037
127,0.991175885
128,0.991170949
129,0.991163111
