tsec,soc
0,0.99
1,0.990095348
2,0.990182728
3,0.99022544
4,0.990226648
5,0.990227681
6,0.990230411
7,0.990226395
8,0.990202069
9,0.990175297
10,0.990162102
11,0.99015561
12,0.990188701
13,0.990238144
14,0.99026865
15,0.990266724
16,0.990256822
17,0.990246866
18,0.990237134
19,0.990227764
20,0.990218779
21,0.990217319
22,0.990227445
23,0.990234759
24,0.990232868
25,0.990223579
26,0.990216616
27,0.990210045
28,0.990206815
29,0.990207758
30,0.990211262
31,0.990218122
32,0.990224579
33,0.99023107
34,0.9902372
35,0.990243181
36,0.990248892
37,0.990254375
38,0.990259432
39,0.990267376
40,0.99028247
41,0.990329092
42,0.9903783
43,0.99042532
44,0.990467244
45,0.99050929
46,0.990551365
47,0.990593385
48,0.990635362
49,0.99067555
50,0.990713733
51,0.990731664
52,0.990755369
53,0.990785494
54,0.990809578
55,0.990837376
56,0.990910301
57,0.990984763
58,0.991039754
59,0.991080402
60,0.991118635
61,0.991171372
62,0.991241288
63,0.991330265
64,0.991388149
65,0.991426026
66,0.991448687
67,0.991474848
68,0.9915088
69,0.991513213
70,0.991510756
71,0.991508213
72,0.991505563
73,0.991502908
74,0.991500264
75,0.991497631
76,0.991494992
77,0.991492349
78,0.99148971
79,0.991487069
80,0.991484429
81,0.991481793
82,0.991475323
83,0.99146775
84,0.991462026
85,0.99145717
86,0.991451644
87,0.991444137
88,0.991437859
89,0.991433636
90,0.99143073
91,0.991427686
92,0.991423545
93,0.991418967
94,0.991413166
95,0.991392676
96,0.991321262
97,0.991159334
98,0.991006235
99,0.990885421
100,0.990900072
101,0.990935382
102,0.990956554
103,0.990967916
104,0.990978882
105,0.990920009
106,0.990655396
107,0.990370736
108,0.990223915
109,0.990238847
110,0.990426054
111,0.990539741
112,0.990605863
113,0.990630582
114,0.990637923
115,0.990661955
116,0.99071058
117,0.990758951
118,0.990866877
119,0.990992953
120,0.991092015
121,0.991145074
122,0.991158013
123,0.991171411
124,0.991179665
125,0.991180175
126,0.991204545
127,0.991205968
128,0.991202171
129,0.991195121
130,0.991150835
131,0.991010595
132,0.99088769
133,0.990872631
134,0.990931608
135,0.990953735
136,0.990945681
137,0.990924684
138,0.990903953
139,0.990885303
140,0.990871397
141,0.990863605
142,0.990859415
143,0.990864405
144,0.990877796
145,0.990891515
146,0.990913317
147,0.990929358
148,0.990943327
149,0.990956751
150,0.990963764
151,0.990726704
152,0.990377447
153,0.990107461
154,0.990103728
155,0.990184102
156,0.990266979
157,0.990348225
158,0.990422544
159,0.99048966
160,0.990546469
161,0.990599561
162,0.990638715
163,0.99065778
164,0.990549581
165,0.990428788
166,0.990433975
167,0.990494028
168,0.990544782
169,0.990587674
170,0.99062908
171,0.990662081
172,0.990691109
173,0.990692271
174,0.990689308
175,0.990685873
176,0.990682734
177,0.990679792
178,0.990678621
179,0.990677705
180,0.990678999
181,0.990680251
182,0.990681553
183,0.990682883
184,0.990687567
185,0.990692695
186,0.990697629
187,0.990702081
188,0.99071751
189,0.990741199
190,0.990765336
191,0.99079047
192,0.990815624
193,0.990836132
194,0.990853584
195,0.990881883
196,0.990907351
197,0.990915258
198,0.990931997
199,0.99094481
200,0.990956659
201,0.990962552
202,0.990969054
203,0.990977852
204,0.990988113
205,0.990995795
206,0.990995315
207,0.990989942
208,0.99098459
209,0.990979693
210,0.990975136
211,0.990970819
212,0.99097007
213,0.991026417
214,0.991105658
215,0.991158628
216,0.99115366
217,0.991147091
218,0.991142763
219,0.991170712
220,0.991215105
221,0.991244593
222,0.991262169
223,0.991269251
224,0.991274539
225,0.991272888
226,0.991270154
227,0.991266997
228,0.991264157
229,0.991261831
230,0.991259522
231,0.991257214
232,0.991254906
233,0.991252596
234,0.991250288
235,0.991247975
