tsec,soc
0,0.99
1,0.990123761
2,0.990237195
3,0.990292661
4,0.990294231
5,0.990295574
6,0.990299123
7,0.990293902
8,0.990262265
9,0.990227446
10,0.990210288
11,0.990201848
12,0.990244832
13,0.990309054
14,0.990348691
15,0.990346187
16,0.990333313
17,0.990320368
18,0.990307715
19,0.990295532
20,0.990283849
21,0.990281952
22,0.990295112
23,0.99030462
24,0.990302161
25,0.990290084
26,0.990281031
27,0.990272488
28,0.990268288
29,0.990269514
30,0.990274068
31,0.990282985
32,0.990291379
33,0.990299817
34,0.990307785
35,0.990315559
36,0.990322982
37,0.99033011
38,0.990336683
39,0.990347008
40,0.990366625
41,0.990427186
42,0.990491104
43,0.990552181
44,0.990606643
45,0.990661265
46,0.990715923
47,0.99077051
48,0.99082504
49,0.990877248
50,0.990926854
51,0.990950149
52,0.990980951
53,0.991020091
54,0.991051387
55,0.991087506
56,0.991182186
57,0.991278865
58,0.991350283
59,0.991403086
60,0.991452755
61,0.991521249
62,0.991612028
63,0.99172752
64,0.991802691
65,0.991851896
66,0.991881341
67,0.991915331
68,0.99195944
69,0.991965175
70,0.991961981
71,0.991958675
72,0.99195523
73,0.991951779
74,0.991948342
75,0.99194492
76,0.991941489
77,0.991938054
78,0.991934623
79,0.99193119
80,0.991927758
81,0.991924331
82,0.991915921
83,0.991906076
84,0.991898634
85,0.991892322
86,0.991885137
87,0.991875378
88,0.991867217
89,0.991861727
90,0.991857949
91,0.991853992
92,0.99184861
93,0.991842659
94,0.991835117
95,0.991808472
96,0.991715514
97,0.991504451
98,0.991304921
99,0.991147547
100,0.991166552
101,0.991212423
102,0.991239936
103,0.991254703
104,0.991268954
105,0.991192264
106,0.990846728
107,0.990474871
108,0.990283507
109,0.990302852
110,0.990545474
111,0.990692991
112,0.990778842
113,0.990810959
114,0.990820501
115,0.990851723
116,0.990914882
117,0.990977711
118,0.991117751
119,0.991281308
120,0.991409873
121,0.991478773
122,0.991495589
123,0.991513001
124,0.991523729
125,0.991524392
126,0.991556053
127,0.991557901
128,0.991552965
129,0.9915438
130,0.99148618
131,0.991303442
132,0.991143283
133,0.991123698
134,0.991200288
135,0.991229028
136,0.991218556
137,0.991191252
138,0.991164294
139,0.991140043
140,0.991121962
141,0.991111832
142,0.991106384
143,0.991112869
144,0.991130272
145,0.991148102
146,0.991176432
147,0.991197279
148,0.991215433
149,0.99123288
150,0.991241994
151,0.990932395
152,0.990475647
153,0.990122784
154,0.990117863
155,0.990222213
156,0.990329808
157,0.990435284
158,0.990531781
159,0.990618934
160,0.990692716
161,0.990761674
162,0.990812539
163,0.990837312
164,0.990696335
165,0.990538939
166,0.990545669
167,0.990623658
168,0.990689581
169,0.990745299
170,0.990799089
171,0.990841965
172,0.990879683
173,0.990881191
174,0.99087734
175,0.990872874
176,0.990868794
177,0.990864969
178,0.990863447
179,0.990862256
180,0.990863938
181,0.990865566
182,0.990867259
183,0.990868987
184,0.990875075
185,0.990881741
186,0.990888155
187,0.990893941
188,0.990913993
189,0.990944776
190,0.990976139
191,0.991008798
192,0.991041483
193,0.991068134
194,0.991090814
195,0.991127583
196,0.991160676
197,0.99117095
198,0.991192702
199,0.991209355
200,0.991224754
201,0.991232414
202,0.991240866
203,0.9912523
204,0.991265636
205,0.991275621
206,0.991274996
207,0.991268011
208,0.991261054
209,0.991254688
210,0.991248763
211,0.991243151
212,0.991242177
213,0.991315353
214,0.991418228
215,0.99148702
216,0.99148056
217,0.99147202
218,0.991466393
219,0.991502702
220,0.991560366
221,0.991598679
222,0.99162152
223,0.991630724
224,0.991637597
225,0.991635451
226,0.991631896
227,0.991627793
228,0.991624101
229,0.991621078
230,0.991618075
231,0.991615075
232,0.991612075
233,0.991609073
234,0.991606072
235,0.991603065
236,0.991600085
237,0.991597092
238,0.991594112
239,0.991591184
240,0.99158836
241,0.99158594
242,0.991583505
243,0.991580899
244,0.99157829
245,0.991575681
246,0.991573086
247,0.991570488
248,0.991567904
249,0.991565314
250,0.991562727
251,0.991560141
252,0.99155756
253,0.991554954
254,0.991552352
255,0.991547771
256,0.991536401
257,0.991511623
258,0.991479762
259,0.991436177
260,0.991378083
261,0.991304649
262,0.991220577
263,0.991149263
264,0.991152461
265,0.991203652
266,0.991230555
267,0.991252298
268,0.991296719
269,0.991337714
270,0.991365624
271,0.991364833
272,0.991362164
273,0.991357289
274,0.991340078
275,0.991309851
276,0.991314727
277,0.991350773
278,0.991354203
279,0.991350757
280,0.991346699
281,0.99134316
282,0.991340004
283,0.991336869
284,0.991333722
285,0.991330577
286,0.991327437
287,0.991324191
288,0.991320651
289,0.991312072
290,0.991302315
291,0.991293773
292,0.991287139
293,0.991241864
294,0.991050169
295,0.990759225
296,0.990583102
297,0.990547637
298,0.990660985
299,0.990757463
300,0.990889936
301,0.990971737
302,0.990993508
303,0.991003588
304,0.991001337
305,0.990995953
306,0.990984116
307,0.990963988
308,0.990940059
309,0.990914127
310,0.99088643
311,0.990859322
312,0.990861834
313,0.990916204
314,0.990971397
315,0.991006644
316,0.991017075
317,0.991000382
318,0.990921232
319,0.99084811
320,0.99083757
321,0.990828493
322,0.990819678
323,0.990840973
324,0.990869756
325,0.990888467
326,0.990891987
327,0.990885823
328,0.990871761
329,0.990850781
330,0.990819841
331,0.99078227
332,0.990756366
333,0.990741074
334,0.990724542
335,0.990628626
336,0.990331284
337,0.990115268
338,0.990008736
339,0.989983115
340,0.990155932
341,0.990274315
342,0.990285303
343,0.990281128
344,0.990276555
345,0.990270534
346,0.990237862
347,0.990198542
348,0.990178986
349,0.990169213
350,0.990160369
351,0.990151843
352,0.990153325
353,0.990238404
354,0.990277597
355,0.990274048
356,0.990268927
357,0.990263902
358,0.990259556
359,0.990282688
360,0.990290199
361,0.990286849
362,0.990282297
363,0.990273974
364,0.990263397
365,0.990252498
366,0.990241476
367,0.990229744
368,0.990217841
369,0.99020633
370,0.99019571
371,0.990203378
372,0.990250535
373,0.990271924
374,0.99027196
375,0.990214449
376,0.990038596
377,0.989835607
378,0.989684012
379,0.989621944
380,0.989658369
381,0.989799309
382,0.989924295
383,0.989961611
384,0.989958578
385,0.989955547
386,0.989956321
387,0.989955824
388,0.989953986
389,0.989952578
390,0.989950701
391,0.989948604
392,0.989946702
393,0.989939381
394,0.989923757
395,0.98990705
396,0.989890144
397,0.98987295
398,0.989862121
399,0.98985747
400,0.989854197
401,0.989850876
402,0.989847607
403,0.989844366
404,0.989841693
405,0.989842462
406,0.989839587
407,0.989830376
408,0.989821132
409,0.989811911
410,0.989801991
411,0.989792736
412,0.989783301
413,0.989774275
414,0.989766611
415,0.989759094
416,0.989751674
417,0.989744388
418,0.989736566
419,0.989720691
420,0.989708179
421,0.98969821
422,0.989693148
423,0.989688686
424,0.989684977
425,0.989681512
426,0.989678247
427,0.989675272
428,0.989672322
429,0.98966939
430,0.989673686
431,0.989700046
432,0.989706655
433,0.989693309
434,0.98957807
435,0.98931916
436,0.989042982
437,0.989070172
438,0.989219321
439,0.989310666
440,0.989262673
441,0.989232898
442,0.989298426
443,0.989357415
444,0.989373514
445,0.989373093
446,0.989363478
447,0.989339352
448,0.9893131
449,0.989276759
450,0.989235942
451,0.989188021
452,0.989137855
453,0.989105255
454,0.989128029
455,0.989178556
456,0.989203714
457,0.989199462
458,0.989173512
459,0.989141991
460,0.989105669
461,0.98906434
462,0.989037131
463,0.989015442
464,0.988989438
465,0.988966832
466,0.988958152
467,0.988994125
468,0.989016459
469,0.989012489
470,0.989002581
471,0.988989066
472,0.9889751
473,0.988962311
474,0.988949457
475,0.988936608
476,0.988923742
477,0.988910863
478,0.988898285
479,0.988891674
480,0.988885319
481,0.988878991
482,0.988872014
483,0.988865062
484,0.988858096
485,0.988851559
486,0.988845003
487,0.988837525
488,0.988830278
489,0.988824674
490,0.988828183
491,0.988851563
492,0.988855091
493,0.988852048
494,0.988848341
495,0.988844126
496,0.988836394
497,0.988816536
498,0.988788528
499,0.988758562
500,0.988729313
501,0.988754509
502,0.988768544
503,0.988766301
504,0.98876349
505,0.988760436
506,0.988756123
507,0.988728929
508,0.988664038
509,0.988582372
510,0.988514321
511,0.988436543
512,0.988393322
513,0.988351195
514,0.988290336
515,0.988242826
516,0.988211034
517,0.988273673
518,0.988376632
519,0.98839693
520,0.988367417
521,0.988328091
522,0.988277769
523,0.988224463
524,0.988170675
525,0.988117429
526,0.988064939
527,0.988022355
528,0.98800737
529,0.988014332
530,0.988077291
531,0.988188156
532,0.988274628
533,0.988287088
534,0.988282938
535,0.988272653
536,0.988233404
537,0.988188136
538,0.988139699
539,0.988090194
540,0.988040181
541,0.987987276
542,0.987931819
543,0.987876492
544,0.98781914
545,0.987768564
546,0.987766686
547,0.98780908
548,0.987840411
549,0.987885641
550,0.98792632
551,0.987984308
552,0.987993871
553,0.987990769
554,0.987987672
555,0.987984312
556,0.987976715
557,0.987966008
558,0.987947967
559,0.987936102
560,0.987929299
561,0.987922301
562,0.987915245
563,0.987908166
564,0.98789169
565,0.987868906
566,0.987748371
567,0.987474715
568,0.987254008
569,0.987283584
570,0.987384962
571,0.987467925
572,0.987459017
573,0.987358451
574,0.987300901
575,0.987292586
576,0.987285073
577,0.987230329
578,0.987129731
579,0.987035198
580,0.986988684
581,0.986987676
582,0.987009436
583,0.987062757
584,0.987088688
585,0.987085159
586,0.987078813
587,0.987069057
588,0.987050166
589,0.987023633
590,0.986997184
591,0.986958074
592,0.986720101
593,0.986281735
594,0.9857515
595,0.985656967
596,0.985839737
597,0.985921534
598,0.986024292
599,0.986114583
600,0.986085314
601,0.986137891
602,0.986139763
603,0.986107965
604,0.985994597
605,0.985889556
606,0.985828151
607,0.985858304
608,0.98586923
609,0.985864004
610,0.985852893
611,0.985828435
612,0.985768726
613,0.985689162
614,0.985621538
615,0.98563976
616,0.985689113
617,0.985723448
618,0.985754183
619,0.985754127
620,0.985750581
621,0.985746604
622,0.98574296
623,0.985739309
624,0.985735658
625,0.985732009
626,0.985728369
627,0.985724731
628,0.985721084
629,0.985713917
630,0.985701358
631,0.985664815
632,0.985591833
633,0.985574383
634,0.9855764
635,0.985387951
636,0.985054603
637,0.984621234
638,0.984190713
639,0.984192014
640,0.984337121
641,0.984469541
642,0.984530608
643,0.984557978
644,0.984526671
645,0.984423144
646,0.984310373
647,0.984239395
648,0.98418732
649,0.98416084
650,0.984160207
651,0.984176011
652,0.984188494
653,0.984229644
654,0.98434611
655,0.984432462
656,0.984422397
657,0.984409744
658,0.984397799
659,0.984386148
660,0.984374842
661,0.984367444
662,0.984419242
663,0.984521383
664,0.984576138
665,0.984572877
666,0.984566752
667,0.984560685
668,0.984554104
669,0.984547211
670,0.984545303
671,0.984587278
672,0.984619463
673,0.984618588
674,0.984615522
675,0.984610644
676,0.984605904
677,0.984601621
678,0.984598859
679,0.984596549
680,0.984594262
681,0.984592013
682,0.984589772
683,0.984584491
684,0.984575831
685,0.98456624
686,0.984557464
687,0.984550042
688,0.98454362
689,0.984537879
690,0.984523333
691,0.984499155
692,0.984481818
693,0.984467169
694,0.984454911
695,0.984446021
696,0.984440692
697,0.984436853
698,0.984433655
699,0.984431732
700,0.984430015
701,0.984428014
702,0.984425895
703,0.984423443
704,0.984424286
705,0.984428083
706,0.984428699
707,0.984426066
708,0.984421444
709,0.984414743
710,0.984408298
711,0.984402712
712,0.984397337
713,0.984392783
714,0.984388457
715,0.98438413
716,0.984379816
717,0.984375492
718,0.98437134
719,0.984367286
720,0.984363153
721,0.984359091
722,0.98435583
723,0.984352701
724,0.984349557
725,0.98434559
726,0.984337138
727,0.98432771
728,0.984318723
729,0.984311381
730,0.98430516
731,0.98429984
732,0.984295069
733,0.984290678
734,0.984286479
735,0.984282424
736,0.984278583
737,0.984274911
738,0.984271305
739,0.984267633
740,0.984263829
741,0.984259793
742,0.984255678
743,0.984251616
744,0.984247677
745,0.984243825
746,0.984240133
747,0.98423659
748,0.984233102
749,0.984229519
750,0.984225792
751,0.984221931
752,0.984217736
753,0.9842094
754,0.984201208
755,0.984185097
756,0.984171824
757,0.984161335
758,0.984152664
759,0.984139437
760,0.984124711
761,0.984111031
762,0.984102684
763,0.984100245
764,0.984106955
765,0.984116705
766,0.984122133
767,0.984125833
768,0.984124749
769,0.984121027
770,0.984115722
771,0.984109847
772,0.984104751
773,0.984100198
774,0.984095598
775,0.984090993
776,0.9840864
777,0.984081818
778,0.98407723
779,0.98407265
780,0.984068005
781,0.984061284
782,0.984050887
783,0.984036401
784,0.984023156
785,0.984015128
786,0.984009754
787,0.984005698
788,0.984002076
789,0.983998859
790,0.983995727
791,0.983992859
792,0.983990323
793,0.983987886
794,0.983985701
795,0.983983743
796,0.983981646
