tsec,soc
0,0.923825
1,0.923811556
2,0.923801132
3,0.923792783
4,0.923783596
5,0.923774213
6,0.923765384
7,0.923757017
8,0.923750005
9,0.92374402
10,0.923738052
11,0.923732298
12,0.923727412
13,0.92372327
14,0.923719346
15,0.923715279
16,0.923711073
17,0.923706965
18,0.923701449
19,0.923696109
20,0.923692105
21,0.923688578
22,0.923685203
23,0.923682501
24,0.923680456
25,0.923678042
26,0.923675259
27,0.923672081
28,0.923667805
29,0.923663556
30,0.923659514
31,0.923655385
32,0.923651337
33,0.923647728
34,0.92364441
35,0.92364112
36,0.923637835
37,0.923634554
38,0.923631276
39,0.923627999
40,0.923624719
41,0.923621437
42,0.923618155
43,0.92361487
44,0.923611581
45,0.923608299
46,0.923605027
47,0.923601765
48,0.923598509
49,0.923595245
50,0.92359197
51,0.9235887
52,0.923585425
53,0.923582142
54,0.923578876
55,0.92357563
56,0.923572391
57,0.923569173
58,0.923565992
59,0.923562847
60,0.923559719
61,0.923556589
62,0.923553453
63,0.923550314
64,0.92354718
65,0.923544055
66,0.923540931
67,0.923537808
68,0.923534684
69,0.923531559
70,0.923528438
71,0.923525319
72,0.923522198
73,0.92351908
74,0.923515966
75,0.923512851
76,0.923509729
77,0.923506604
78,0.923503477
79,0.923500343
80,0.923497211
81,0.923494085
82,0.92349096
83,0.923487837
84,0.923484717
85,0.923481598
86,0.923478483
87,0.923475369
88,0.923472254
89,0.923469142
90,0.923466032
91,0.923462919
92,0.9234598
93,0.923456677
94,0.923453558
95,0.923450449
96,0.923447343
97,0.923444238
98,0.923441133
99,0.923438022
100,0.923434908
101,0.923431802
102,0.923428698
103,0.923425592
104,0.923422491
105,0.923419393
106,0.923416296
107,0.9234132
108,0.923410101
109,0.923406991
110,0.923403862
111,0.92340074
112,0.923397638
113,0.92339454
114,0.923391422
115,0.923388264
116,0.923385092
117,0.923381924
118,0.923378758
119,0.923375597
120,0.923372392
121,0.923368791
122,0.923364471
123,0.923359759
124,0.923354072
125,0.92334711
126,0.923340059
127,0.923332226
128,0.923323073
129,0.923312214
130,0.923299428
131,0.923285523
132,0.923271192
133,0.923256752
134,0.923242168
135,0.92322731
136,0.92321183
137,0.923199908
138,0.923191206
139,0.923182016
140,0.923171272
141,0.92315849
142,0.923147486
143,0.923138722
144,0.923130229
145,0.923121928
146,0.923113617
147,0.923105276
148,0.923096951
149,0.923088619
150,0.923080259
151,0.923071892
152,0.923063498
153,0.9230551
154,0.923046724
155,0.92303834
156,0.923029948
157,0.923021556
158,0.923013143
159,0.923005242
160,0.922997914
161,0.922991172
162,0.922984937
163,0.922979396
164,0.922975009
165,0.922971935
166,0.92296892
167,0.922965911
168,0.922962902
169,0.922959897
170,0.922956899
171,0.922953897
172,0.922950894
173,0.922947885
174,0.922944876
175,0.922941873
176,0.922938872
177,0.922935856
178,0.922932848
179,0.922929825
180,0.922926801
181,0.922923752
182,0.922920716
183,0.922917706
184,0.922914691
185,0.922911675
186,0.922908655
187,0.922905634
188,0.922902608
189,0.922899598
190,0.922896583
191,0.922893563
192,0.922890543
193,0.922887535
194,0.922884518
195,0.922881509
196,0.922878496
197,0.922875479
198,0.922872464
199,0.922869461
200,0.922866452
201,0.922863437
202,0.922860425
203,0.922857404
204,0.922854398
205,0.922851392
206,0.922848378
207,0.922845372
208,0.922842366
209,0.92283936
210,0.922836365
211,0.922833363
212,0.922830363
213,0.922827362
214,0.922824363
215,0.922821365
216,0.922818366
217,0.92281536
218,0.922812357
219,0.922809352
220,0.922806352
221,0.92280336
222,0.922800352
223,0.922797355
224,0.922794353
225,0.922791352
226,0.922788332
227,0.922785326
228,0.922782324
229,0.922779344
230,0.922776366
231,0.92277339
232,0.922770415
233,0.922767451
234,0.922764484
235,0.922761515
236,0.922758543
237,0.922755576
238,0.922752618
239,0.922749649
240,0.922746674
241,0.922743715
242,0.922740745
243,0.922737781
244,0.922734822
245,0.922731853
246,0.922728881
247,0.922725918
248,0.92272296
249,0.922719996
250,0.922717035
251,0.922714072
252,0.92271112
253,0.922708165
254,0.922705212
255,0.922702249
256,0.922699295
257,0.922696351
258,0.922693382
259,0.922690412
260,0.922687444
261,0.922684494
262,0.922681537
263,0.922678571
264,0.922675611
265,0.922672667
266,0.922669718
267,0.92266676
268,0.922663782
269,0.92266083
270,0.922657881
271,0.922654938
272,0.922651983
273,0.922649032
274,0.922646081
275,0.922643135
276,0.922640183
277,0.92263723
278,0.922634286
279,0.922631335
280,0.922628369
281,0.922625401
282,0.922622432
283,0.922619465
284,0.922616495
285,0.922613525
286,0.922610567
287,0.922607605
288,0.922604636
289,0.922601666
290,0.92259871
291,0.922595744
292,0.922592786
293,0.922589826
294,0.922586874
295,0.922583911
296,0.922580945
297,0.922577987
298,0.922575026
299,0.922572071
300,0.922569104
301,0.922566143
302,0.92256317
303,0.922560192
304,0.922557228
305,0.922554262
306,0.922551306
307,0.922548342
308,0.92254538
309,0.922542402
310,0.922539441
311,0.922536475
312,0.922533516
313,0.922530552
314,0.922527586
315,0.922524627
316,0.922521664
317,0.9225187
318,0.92251573
319,0.922512761
320,0.922509802
321,0.922506844
322,0.922503883
323,0.922500914
324,0.92249795
325,0.922494995
326,0.922492046
327,0.922489091
328,0.922486139
329,0.922483196
330,0.922480247
331,0.922477305
332,0.922474357
333,0.922471417
334,0.92246848
335,0.922465535
336,0.922462604
337,0.922459667
338,0.922456742
339,0.9224538
340,0.922450861
341,0.922447927
342,0.922444985
343,0.922442057
344,0.922439129
345,0.922436206
346,0.922433275
347,0.922430347
348,0.92242741
349,0.922424453
350,0.922421488
351,0.922418485
352,0.922415242
353,0.922411243
354,0.922402117
355,0.922384422
356,0.922360654
357,0.922339268
358,0.922320141
359,0.922278501
360,0.922217238
361,0.922176437
362,0.922153607
363,0.922125273
364,0.922099284
365,0.922088169
366,0.922079063
367,0.922054921
368,0.922019218
369,0.921994339
370,0.921988818
371,0.921987132
372,0.921964583
373,0.921918734
374,0.921868518
375,0.921826809
376,0.921798849
377,0.921788959
378,0.921792745
379,0.921798384
380,0.92179729
381,0.92177142
382,0.921747629
383,0.921746681
384,0.921750141
385,0.921752229
386,0.921752134
387,0.921750702
388,0.921744699
389,0.921729678
390,0.921714952
391,0.921694708
392,0.921657363
393,0.921616892
394,0.921586953
395,0.921577439
396,0.921580257
397,0.921580501
398,0.921578506
399,0.921577871
400,0.921574237
401,0.921555843
402,0.921538885
403,0.921534314
404,0.921530953
405,0.921526819
406,0.921522465
407,0.921518917
408,0.921518104
409,0.921519883
410,0.921520169
411,0.921518238
412,0.921514188
413,0.921511031
414,0.921506442
415,0.921494479
416,0.921472496
417,0.921448019
418,0.921419506
419,0.921400465
420,0.921384963
421,0.921362609
422,0.921348675
423,0.921331173
424,0.921309279
425,0.921252499
426,0.921210299
427,0.921214148
428,0.921215502
429,0.921214161
430,0.921211317
431,0.921202606
432,0.921175474
433,0.921109021
434,0.921047847
435,0.92103241
436,0.921032481
437,0.921028697
438,0.921021518
439,0.921008178
440,0.920995526
441,0.920978377
442,0.920950831
443,0.920917407
444,0.920883602
445,0.920837495
446,0.920771835
447,0.920735278
448,0.920733558
449,0.920731974
450,0.920728022
451,0.92070043
452,0.920579956
453,0.920388149
454,0.920191276
455,0.919998779
456,0.919766885
457,0.919621739
458,0.91962301
459,0.919643731
460,0.919650382
461,0.919658469
462,0.919666327
463,0.919662468
464,0.919654599
465,0.91964804
466,0.919652587
467,0.919650758
468,0.91960925
469,0.919546203
470,0.919488809
471,0.919451286
472,0.919401813
473,0.919307769
474,0.919216419
475,0.919191331
476,0.91919884
477,0.919171042
478,0.919114716
479,0.919090093
480,0.919090937
481,0.91906427
482,0.919024307
483,0.918986543
484,0.918956515
485,0.918934567
486,0.918924022
487,0.918926161
488,0.918916366
489,0.918856294
490,0.918770978
491,0.918732746
492,0.918740041
493,0.91875016
494,0.918764884
495,0.918741191
496,0.91871389
497,0.918730104
498,0.918748325
499,0.918762333
500,0.91877154
501,0.918775812
502,0.918776997
503,0.918774366
504,0.918735232
505,0.918633942
506,0.91849251
507,0.918316655
508,0.918109175
509,0.91791305
510,0.917675636
511,0.917379964
512,0.917083937
513,0.916789327
514,0.916506101
515,0.916388751
516,0.916426308
517,0.916465916
518,0.916504766
519,0.916542551
520,0.91657962
521,0.91661558
522,0.916650117
523,0.916682448
524,0.916712528
525,0.91674116
526,0.916767628
527,0.916791166
528,0.916811851
529,0.91682975
530,0.916844785
531,0.916856713
532,0.916864917
533,0.916868897
534,0.916868845
535,0.916866065
536,0.916862611
537,0.916859273
538,0.916856196
539,0.916853236
540,0.916850221
541,0.916847184
542,0.916844217
543,0.916841298
544,0.916838416
545,0.916835553
546,0.916832686
547,0.91682982
548,0.916826958
549,0.9168241
550,0.916821239
551,0.916818382
552,0.916815531
553,0.916812672
554,0.916809798
555,0.916801869
556,0.916772196
557,0.916703508
558,0.916653284
559,0.916645392
560,0.916642788
561,0.916629008
562,0.916557071
563,0.916397859
564,0.916198959
565,0.915969548
566,0.915834849
567,0.915834608
568,0.915834689
569,0.915770934
570,0.915700729
571,0.915670331
572,0.915614743
573,0.915557539
574,0.915530893
575,0.915490686
576,0.915392291
577,0.915177718
578,0.914883752
579,0.914589025
580,0.914296297
581,0.914164576
582,0.914195947
583,0.914207854
584,0.914060133
585,0.91392267
586,0.913824093
587,0.91369936
588,0.913668763
589,0.913691192
590,0.913702499
591,0.913633698
592,0.913503738
593,0.91338295
594,0.91330543
595,0.913300981
596,0.913339282
597,0.913377995
598,0.913416192
599,0.913454442
600,0.913492658
601,0.913529932
602,0.913565612
603,0.913599202
604,0.913630487
605,0.913660676
606,0.913689773
607,0.913701106
608,0.913696916
609,0.913692818
610,0.91368866
611,0.913635901
612,0.913462732
613,0.913193188
614,0.912899792
615,0.912605012
616,0.91231375
617,0.912029603
618,0.911751959
619,0.911478396
620,0.911208586
621,0.910942266
622,0.910678404
623,0.910540052
624,0.910524721
625,0.910416931
626,0.910319234
627,0.910340633
628,0.91039153
629,0.910417302
630,0.910382332
631,0.910363739
632,0.910403896
633,0.910438939
634,0.910441544
635,0.910457944
636,0.910486358
637,0.910515401
638,0.910543396
639,0.910547871
640,0.910559108
641,0.910562804
642,0.910503112
643,0.910454702
644,0.910409124
645,0.910349238
646,0.910319503
647,0.910279753
648,0.910222986
649,0.910153366
650,0.910058223
651,0.909931112
652,0.909728272
653,0.909463942
654,0.909199006
655,0.908933985
656,0.908669254
657,0.908405281
658,0.908142453
659,0.907880492
660,0.907620595
661,0.907378291
662,0.907170063
663,0.906994549
664,0.906838287
665,0.906699007
666,0.906574932
667,0.906460226
668,0.906347805
669,0.90622801
670,0.906097637
671,0.905960478
672,0.905817698
673,0.905678508
674,0.905544229
675,0.905415778
676,0.905286614
677,0.905157846
678,0.9050383
679,0.904929018
680,0.904836508
681,0.904747694
682,0.904659187
683,0.90457871
684,0.904502902
685,0.904421341
686,0.90432982
687,0.904231069
688,0.90412814
689,0.904025254
690,0.903934633
691,0.90390018
692,0.903935765
693,0.903981035
694,0.904023961
695,0.904037101
696,0.904023468
697,0.90399192
698,0.903857375
699,0.903667501
700,0.903512812
701,0.903358526
702,0.903202361
703,0.903054156
704,0.90290541
705,0.902762032
706,0.902623668
707,0.902487459
708,0.9024118
709,0.9024256
710,0.902448645
711,0.902448364
712,0.902427209
713,0.902396356
714,0.902360885
715,0.902300776
716,0.902212216
717,0.902067259
718,0.901961945
719,0.901972062
720,0.902028605
721,0.90208517
722,0.902140708
723,0.902195513
724,0.9022459
725,0.902272955
726,0.902272831
727,0.902275631
728,0.902281954
729,0.902263814
730,0.902200061
731,0.902098207
732,0.902012246
733,0.901976276
734,0.901932333
735,0.901841727
736,0.901722382
737,0.901592733
738,0.901468096
739,0.901338787
740,0.901162008
741,0.900921328
742,0.900682536
743,0.900439544
744,0.900192738
745,0.900045833
746,0.90004383
747,0.900048712
748,0.899985668
749,0.899900429
750,0.899817294
751,0.899708858
752,0.899506559
753,0.899366326
754,0.899302571
755,0.899176469
756,0.899029269
757,0.898921342
758,0.898840773
759,0.898745985
760,0.898641399
761,0.898591281
