tsec,soc
0,0.9
1,0.899999959
2,0.899999917
3,0.899999875
4,0.899999831
5,0.899999786
6,0.899999741
7,0.899999701
8,0.899999657
9,0.899999614
10,0.899999573
11,0.899999558
12,0.899999525
13,0.899948861
14,0.899948861
15,0.899948293
16,0.899948293
17,0.899947783
18,0.899947783
19,0.899919891
20,0.899686775
21,0.899477267
22,0.899281879
23,0.899098509
24,0.898924253
25,0.898876974
26,0.898876974
27,0.898850226
28,0.898735573
29,0.898658907
30,0.898649749
31,0.898649749
32,0.898632377
33,0.898620587
34,0.898529679
35,0.898529679
36,0.898486673
37,0.898388287
38,0.89838212
39,0.898381596
40,0.898381596
41,0.898293418
42,0.898060695
43,0.897853217
44,0.897658939
45,0.897484226
46,0.897478647
47,0.897478647
48,0.897478647
49,0.897478647
50,0.897473173
51,0.897435192
52,0.897300869
53,0.897108859
54,0.897076294
55,0.897070054
56,0.897054887
57,0.896834123
58,0.896700698
59,0.896482893
60,0.896288334
61,0.896106515
62,0.895938538
63,0.895850277
64,0.895850277
65,0.895850277
66,0.895847228
67,0.895726977
68,0.895661766
69,0.895636157
70,0.895622262
71,0.895619081
72,0.895553286
73,0.895463864
74,0.895366704
75,0.895293093
76,0.895292551
77,0.895205725
78,0.895205725
79,0.894984011
80,0.894775785
81,0.894587963
82,0.894412705
83,0.894397584
84,0.894397584
85,0.894397584
86,0.894397584
87,0.894370916
88,0.894370916
89,0.894332172
90,0.89427933
91,0.894264726
92,0.89425624
93,0.894252615
94,0.894248776
95,0.894242343
96,0.894242301
97,0.89424226
98,0.894242217
99,0.894242172
100,0.894242129
101,0.894242084
102,0.894242043
103,0.894241998
104,0.894241957
105,0.894241912
106,0.894241896
107,0.894241882
108,0.894191135
109,0.894191135
110,0.894190568
111,0.894190568
112,0.894190057
113,0.894190057
114,0.894095873
115,0.893870142
116,0.893664719
117,0.893472231
118,0.893291382
119,0.893123604
120,0.893117539
121,0.893111794
122,0.893079523
123,0.892944192
124,0.892895733
125,0.892890094
126,0.892890094
127,0.892866427
128,0.892858447
129,0.892769735
130,0.892769146
131,0.892720276
132,0.892621955
133,0.892621955
134,0.892621431
135,0.892621431
136,0.892412197
137,0.8921873
138,0.891983959
139,0.891792149
140,0.891662307
141,0.891662307
142,0.891662307
143,0.891662307
144,0.891662307
145,0.89164275
146,0.891618789
147,0.891419091
148,0.891291932
149,0.891253041
150,0.891253041
151,0.891191764
152,0.891007916
153,0.890820807
154,0.890610566
155,0.890418989
156,0.890241304
157,0.890076038
158,0.890031345
159,0.890031345
160,0.890031345
161,0.889990049
162,0.889887249
163,0.88983088
164,0.889812089
165,0.88980118
166,0.889799686
167,0.889681194
168,0.889577146
169,0.889509707
170,0.88947332
171,0.889452057
172,0.889385828
173,0.889333955
174,0.889104895
175,0.888902588
176,0.88871838
177,0.888576336
178,0.888576336
179,0.888576336
180,0.888576336
181,0.888572123
182,0.888549652
183,0.888549652
184,0.88849029
185,0.888449014
186,0.88844137
187,0.888433565
188,0.888430667
189,0.888424028
190,0.88842093
191,0.888420889
192,0.888420847
193,0.888420803
194,0.888420758
195,0.888420714
196,0.888420671
197,0.888420628
198,0.888420583
199,0.888420543
200,0.88842051
201,0.888420486
202,0.888374797
203,0.888369659
204,0.888369089
