tsec,soc
0,0.9
1,0.899999959
2,0.899999917
3,0.899999875
4,0.899999831
5,0.899999786
6,0.899999741
7,0.899999701
8,0.899999657
9,0.899999614
10,0.899999573
11,0.899999596
12,0.900026494
13,0.899875207
14,0.899578572
15,0.899492801
16,0.899642378
17,0.899593658
18,0.899300507
19,0.89903008
20,0.898796908
21,0.898587349
22,0.898391915
23,0.898208501
24,0.898034203
25,0.898073173
26,0.89837338
27,0.898450991
28,0.898375221
29,0.898298549
30,0.89829134
31,0.89833759
32,0.89833718
33,0.89832539
34,0.898196899
35,0.897899753
36,0.89788574
37,0.897796051
38,0.897929599
39,0.89781935
40,0.897498092
41,0.897228092
42,0.896995302
43,0.896787764
44,0.896593431
45,0.896418668
46,0.896582096
47,0.896686847
48,0.896772259
49,0.896889404
50,0.896985853
51,0.896979484
52,0.896843749
53,0.896594091
54,0.896467495
55,0.896590989
56,0.896509096
57,0.896266134
58,0.896013787
59,0.895795941
60,0.895601346
61,0.895419493
62,0.895251485
63,0.895183773
64,0.895381753
65,0.895577624
66,0.895679519
67,0.895559262
68,0.895494048
69,0.895475778
70,0.895461883
71,0.895458702
72,0.895392903
73,0.895142404
74,0.89504535
75,0.89500716
76,0.895177327
77,0.894917016
78,0.894650369
79,0.894413285
80,0.894205027
81,0.894017176
82,0.893841891
83,0.893908417
84,0.894105477
85,0.894190927
86,0.894264926
87,0.894267374
88,0.894323797
89,0.894326369
90,0.894275772
91,0.894261169
92,0.894252682
93,0.894249057
94,0.894245218
95,0.894238785
96,0.894238744
97,0.894238702
98,0.894238659
99,0.894238614
100,0.894238571
101,0.894238526
102,0.894238485
103,0.89423844
104,0.894238399
105,0.894238354
106,0.894238376
107,0.894281166
108,0.894037565
109,0.893737139
110,0.893754167
111,0.893952323
112,0.893751563
113,0.893460387
114,0.893201159
115,0.892975374
116,0.892769901
117,0.892577366
118,0.892396474
119,0.892228656
120,0.892387275
121,0.892644663
122,0.892702281
123,0.892579648
124,0.892531186
125,0.892534078
126,0.892586444
127,0.892567145
128,0.892559165
129,0.892351981
130,0.892125737
131,0.89212338
132,0.892033688
133,0.892235911
134,0.89196825
135,0.891655048
136,0.891396137
137,0.891171177
138,0.89096778
139,0.890775919
140,0.890659322
141,0.890866052
142,0.890937405
143,0.891035404
144,0.891154584
145,0.891223227
146,0.891235103
147,0.891011962
148,0.890752528
149,0.890701749
150,0.890888186
151,0.89067362
152,0.890428285
153,0.890183516
154,0.889973239
155,0.88978163
156,0.889603914
157,0.88943862
158,0.889444302
159,0.889690789
160,0.889835846
161,0.889872744
162,0.889769941
163,0.88971357
164,0.889702212
165,0.889691303
166,0.889689809
167,0.889560417
168,0.889305935
169,0.88923852
170,0.889279339
171,0.889336873
172,0.889076521
173,0.888813117
174,0.888584025
175,0.888381689
176,0.888197456
177,0.888065575
178,0.888176605
179,0.888377008
180,0.888435879
181,0.888494556
182,0.888516599
183,0.8885671
184,0.888535138
185,0.888496132
186,0.888488488
187,0.888480683
188,0.888477785
189,0.888471147
190,0.888468048
191,0.888468007
192,0.888467965
193,0.888467921
194,0.888467877
195,0.888467833
196,0.888467789
197,0.888467747
198,0.888467702
199,0.888467662
200,0.888467642
201,0.888468083
202,0.888472728
203,0.888188831
204,0.887902352
