tsec,soc
0,0.899025
1,0.899022929
2,0.899020567
3,0.899018253
4,0.899016033
5,0.899013929
6,0.89901173
7,0.899009414
8,0.899007178
9,0.899005024
10,0.899002845
11,0.899000407
12,0.898998051
13,0.89899573
14,0.898993393
15,0.89899107
16,0.898988877
17,0.898986528
18,0.898983993
19,0.898981559
20,0.898979259
21,0.898976935
22,0.898974531
23,0.898972097
24,0.898969713
25,0.89896722
26,0.898964713
27,0.89896222
28,0.898959875
29,0.89895755
30,0.898955148
31,0.898952701
32,0.898950362
33,0.898948077
34,0.898945651
35,0.898943273
36,0.898940895
37,0.898938405
38,0.898935865
39,0.898933422
40,0.898931112
41,0.898928633
42,0.898926028
43,0.898923412
44,0.898920851
45,0.898918388
46,0.89891588
47,0.898913473
48,0.898910905
49,0.898908299
50,0.898905769
51,0.898903276
52,0.898900776
53,0.89889821
54,0.898895514
55,0.898892834
56,0.89889017
57,0.898887649
58,0.898879547
59,0.898868806
60,0.898858164
61,0.898848008
62,0.898837172
63,0.89882631
64,0.898815382
65,0.898804417
66,0.89879341
67,0.898782439
68,0.898771495
69,0.898760545
70,0.8987496
71,0.898738748
72,0.898727213
73,0.898715027
74,0.898702455
75,0.898687161
76,0.898666915
77,0.898649014
78,0.898637159
79,0.898624658
80,0.898606574
81,0.898584356
82,0.898557963
83,0.898520411
84,0.898484543
85,0.898463903
86,0.898453141
87,0.89844094
88,0.898415545
89,0.898378078
90,0.898326707
91,0.898276696
92,0.89824422
93,0.898210545
94,0.898171681
95,0.898137011
96,0.898102959
97,0.898066104
98,0.898024117
99,0.897975157
100,0.897913254
101,0.897842674
102,0.89777035
103,0.897700003
104,0.897651448
105,0.897618967
106,0.897585516
107,0.897556977
108,0.897542774
109,0.897534756
110,0.897536729
111,0.897535883
112,0.897522536
113,0.897503644
114,0.89745102
115,0.897404996
116,0.897393347
117,0.897380444
118,0.89734039
119,0.897303046
120,0.897271628
121,0.897232722
122,0.897198742
123,0.897170614
124,0.897146553
125,0.897123672
126,0.897091074
127,0.897058312
128,0.89702762
129,0.896995531
130,0.8969597
131,0.896922804
132,0.896889409
133,0.896860723
134,0.896835771
135,0.896809394
136,0.896783413
137,0.896765358
138,0.896752336
139,0.896739579
140,0.896726529
141,0.896713185
142,0.896700348
143,0.896687648
144,0.896675039
145,0.89666243
146,0.896649943
147,0.89663798
148,0.896626517
149,0.896615059
150,0.89660347
151,0.896591778
152,0.896580123
153,0.896568567
154,0.896557032
155,0.896545429
156,0.896533671
157,0.896521939
158,0.896510205
159,0.896498484
160,0.896486795
161,0.896475102
162,0.896463306
163,0.896451033
164,0.896437458
165,0.896425085
166,0.896412642
167,0.896398646
168,0.896386164
169,0.896374213
170,0.896362312
171,0.896350566
172,0.896338874
173,0.896327171
174,0.896315448
175,0.896303725
176,0.896292063
177,0.896280443
178,0.896268789
179,0.896257124
180,0.896245562
181,0.896234064
182,0.896222491
183,0.896210842
184,0.896199179
185,0.896187573
186,0.896175992
187,0.896164387
188,0.896152777
189,0.896141169
190,0.896129542
191,0.896117943
192,0.896106428
193,0.896094979
194,0.896083463
195,0.896071801
196,0.896060102
197,0.896048468
198,0.896036846
199,0.896025177
200,0.896013466
201,0.896001827
202,0.895990198
203,0.895978564
204,0.895966955
205,0.895955405
206,0.895943826
207,0.895932138
208,0.895920333
209,0.895908592
210,0.895896853
211,0.895885013
212,0.895873136
213,0.895861328
214,0.895849632
215,0.895837946
216,0.89582624
217,0.895814564
218,0.895802872
219,0.895791135
220,0.895779388
221,0.895767599
222,0.895755779
223,0.895743851
224,0.89573187
225,0.89572
226,0.895708281
227,0.895696603
228,0.895684862
229,0.895673086
230,0.895661346
231,0.89564965
232,0.895637955
233,0.895626213
234,0.895614354
235,0.895602438
236,0.895590483
237,0.895578541
238,0.895566722
239,0.895554973
240,0.895543193
241,0.895531397
242,0.89551965
243,0.895507959
244,0.89549619
245,0.895484334
246,0.895472479
247,0.895460557
248,0.895448596
249,0.895436663
250,0.895424787
251,0.895412938
252,0.895401103
253,0.895389269
254,0.895377478
255,0.895365764
256,0.895353987
257,0.895342105
258,0.895330137
259,0.895318235
260,0.895306356
261,0.895294423
262,0.895282434
263,0.895270444
264,0.89525848
265,0.895246552
266,0.895234656
267,0.895222813
268,0.895210962
269,0.895199026
270,0.895186976
271,0.895174966
272,0.895163054
273,0.895151133
274,0.895139096
275,0.895127023
276,0.895114985
277,0.895102962
278,0.895090932
279,0.895078935
280,0.89506692
281,0.895054946
282,0.895042911
283,0.89503086
284,0.895018832
285,0.895006805
286,0.894994727
287,0.894982571
288,0.894970463
289,0.894958438
290,0.89494639
291,0.89493421
292,0.894921975
293,0.894909908
294,0.894897895
295,0.894885885
296,0.894873847
297,0.894861811
298,0.894849736
299,0.894837585
300,0.894825406
301,0.894813346
302,0.894801343
303,0.89478922
304,0.894776997
305,0.894764778
306,0.894752658
307,0.894740609
308,0.894728559
309,0.894716525
310,0.89470449
311,0.894692429
312,0.894680295
313,0.894668159
314,0.894656079
315,0.894643986
316,0.894631783
317,0.894619536
318,0.894607357
319,0.894595223
320,0.894583091
321,0.894570959
322,0.894558899
323,0.894546946
324,0.894535002
325,0.894522928
326,0.894510761
327,0.894498589
328,0.894486411
329,0.894474236
330,0.89446209
331,0.894449949
332,0.894437766
333,0.894425533
334,0.894413323
335,0.89440127
336,0.894389408
337,0.894377542
338,0.894365487
339,0.894353302
340,0.894341074
341,0.894328858
342,0.894316654
343,0.894304415
344,0.894292171
345,0.894279925
346,0.894267636
347,0.894255313
348,0.894243135
349,0.894231149
350,0.894219164
351,0.894207052
352,0.894194842
353,0.894182648
354,0.894170402
355,0.894158073
356,0.894145715
357,0.894133359
358,0.894121066
359,0.894108745
360,0.894096421
361,0.894084199
362,0.894072017
363,0.894059836
364,0.894047644
365,0.894035464
366,0.89402334
367,0.894011051
368,0.893998562
369,0.89398605
370,0.893973652
371,0.893961375
372,0.893949099
373,0.893936754
374,0.893924428
375,0.893912121
376,0.89389983
377,0.893887579
378,0.893875316
379,0.893863084
380,0.8938507
381,0.893838182
382,0.893825652
383,0.893813207
384,0.89380085
385,0.893788465
386,0.893776028
387,0.893763601
388,0.893751245
389,0.893738878
390,0.893726522
391,0.893714173
392,0.893701754
393,0.893689308
394,0.893676804
395,0.893664311
396,0.893651873
397,0.893639424
398,0.893626899
399,0.893614394
400,0.893602028
401,0.893589745
402,0.893577378
403,0.893564914
404,0.893552409
