tsec,soc,TdegC
0,0.8,35
1,0.8,34.994242
2,0.79962483,35.009762
3,0.79892906,35.057998
4,0.79821587,35.112437
5,0.79741736,35.17751
6,0.79660524,35.244981
7,0.79625345,35.271025
8,0.79540965,35.344297
9,0.79456086,35.418499
10,0.79430351,35.430827
11,0.79429919,35.424864
12,0.7940628,35.429972
13,0.79343911,35.48013
14,0.7931156,35.504181
15,0.79264238,35.537539
16,0.79263773,35.531525
17,0.79263305,35.525514
18,0.79298766,35.534633
19,0.7932084,35.538442
20,0.79264361,35.571268
21,0.79263842,35.565239
22,0.79196978,35.622347
23,0.79110913,35.698684
24,0.79024225,35.776189
25,0.78937318,35.854089
26,0.78858681,35.919623
27,0.78856662,35.913833
28,0.78855977,35.907641
29,0.78852486,35.910098
30,0.78839813,35.913774
31,0.78768777,35.970748
32,0.787231,36.001468
33,0.78642889,36.067802
34,0.78567914,36.127663
35,0.78509325,36.162374
36,0.78480809,36.173414
37,0.78411762,36.222358
38,0.78410133,36.216203
39,0.78409288,36.209869
40,0.78442721,36.218106
41,0.78476143,36.224249
42,0.78498098,36.223661
43,0.78454481,36.247675
44,0.78440635,36.249116
45,0.78427114,36.246834
46,0.78406793,36.246891
47,0.78420103,36.243823
48,0.78401001,36.243805
49,0.78375868,36.244532
50,0.7834384,36.249599
51,0.78328636,36.24951
52,0.78330929,36.243229
53,0.78299262,36.250102
54,0.78240207,36.284577
55,0.78201848,36.305833
56,0.78200445,36.299507
57,0.78209803,36.294167
58,0.78202416,36.291368
59,0.78168773,36.297596
60,0.7812062,36.317232
61,0.78078487,36.340988
62,0.78093685,36.338544
63,0.78115873,36.337806
64,0.78082679,36.347141
65,0.78019717,36.385663
66,0.78015323,36.382129
67,0.7796005,36.427522
68,0.77874738,36.502158
69,0.7778905,36.577483
70,0.77708899,36.644548
71,0.77704676,36.638908
72,0.77696145,36.635732
73,0.77669507,36.650997
74,0.77648024,36.659355
75,0.77605015,36.684505
76,0.77578246,36.694907
77,0.77576906,36.688355
78,0.77571208,36.683313
79,0.77545967,36.695744
80,0.77525734,36.702621
81,0.77521397,36.696769
82,0.77491335,36.700983
83,0.77435284,36.730199
84,0.77432292,36.723944
85,0.77399423,36.740777
86,0.77384669,36.742939
87,0.77386922,36.737356
88,0.77373766,36.738456
89,0.77336619,36.74827
90,0.77269739,36.791654
91,0.77226658,36.820612
92,0.77214691,36.824299
93,0.77128239,36.901003
94,0.7710653,36.909356
95,0.77091104,36.910788
96,0.77022449,36.959044
97,0.77020638,36.952435
98,0.77039632,36.952827
99,0.77038939,36.951768
100,0.77004329,36.960714
101,0.76937529,37.004132
102,0.76934325,36.998982
103,0.76874446,37.048171
104,0.76864943,37.045261
105,0.76863385,37.038548
106,0.76846635,37.040682
107,0.76808732,37.064342
108,0.76766986,37.096994
109,0.76745918,37.103962
110,0.76744288,37.097224
111,0.76742644,37.090489
112,0.76754284,37.086494
113,0.76738779,37.084706
114,0.76711299,37.086628
115,0.76659358,37.110153
116,0.76619834,37.133822
117,0.7656656,37.172211
118,0.76541711,37.179607
119,0.76488979,37.21535
120,0.76487274,37.208561
121,0.76465213,37.215177
122,0.76441879,37.224735
123,0.7644016,37.217942
124,0.76438434,37.211152
125,0.76418997,37.209364
126,0.76388927,37.213655
127,0.7633171,37.243592
