tsec,soc,TdegC
0,0.8,35
1,0.8,34.994242
2,0.79962483,35.009762
3,0.79892906,35.057998
4,0.79816827,35.116545
5,0.79736974,35.18162
6,0.79655761,35.249092
7,0.79573199,35.318996
8,0.79488802,35.392283
9,0.79403906,35.466499
10,0.79397744,35.487626
11,0.7943937,35.501039
12,0.79416687,35.506269
13,0.79335877,35.572908
14,0.79251632,35.645815
15,0.79210841,35.681534
16,0.79253523,35.69571
17,0.79295966,35.709654
18,0.79334433,35.720044
19,0.79356505,35.723761
20,0.79294737,35.761298
21,0.79208097,35.838729
22,0.79123238,35.912671
23,0.79037148,35.988924
24,0.78950435,36.066345
25,0.78863503,36.144162
26,0.78784844,36.209605
27,0.78815427,36.218135
28,0.78857881,36.231848
29,0.78873733,36.242903
30,0.78790629,36.313716
31,0.7871013,36.379494
32,0.78635031,36.439385
33,0.78554793,36.505567
34,0.78479792,36.56527
35,0.78421185,36.599802
36,0.78401557,36.613581
37,0.78332489,36.662352
38,0.78368648,36.673123
39,0.78410979,36.686512
40,0.78450318,36.6972
41,0.78483739,36.703113
42,0.78505693,36.702295
43,0.7844867,36.738831
44,0.78417371,36.770221
45,0.78415317,36.771075
46,0.78399962,36.772301
47,0.78423201,36.771848
48,0.784041,36.771577
49,0.78378967,36.77205
50,0.7834694,36.776864
51,0.78331736,36.776522
52,0.78334028,36.769988
53,0.78302362,36.776608
54,0.78241483,36.812451
55,0.7817306,36.861475
56,0.78199179,36.863233
57,0.78208909,36.857708
58,0.78201522,36.854638
59,0.78167878,36.860596
60,0.78119725,36.879962
61,0.78077592,36.903448
62,0.7809279,36.900735
63,0.78114978,36.899727
64,0.78081784,36.908792
65,0.78018822,36.947045
66,0.77933819,37.020908
67,0.77848996,37.094335
68,0.77763647,37.168733
69,0.77677921,37.243822
70,0.77597735,37.310641
71,0.77624681,37.318186
72,0.77645664,37.327528
73,0.77564566,37.394365
74,0.7756126,37.415158
75,0.77526837,37.44332
76,0.77504836,37.45493
77,0.77535716,37.460728
78,0.77534517,37.45551
79,0.77455333,37.519475
80,0.77432965,37.545415
81,0.77455707,37.549004
82,0.77425639,37.552815
83,0.77369575,37.581642
84,0.77388562,37.581939
85,0.7731759,37.634981
86,0.77324412,37.646147
87,0.77352623,37.648034
88,0.77339465,37.648698
89,0.77302314,37.65808
90,0.77235426,37.701043
91,0.77156428,37.763869
92,0.77068771,37.842484
93,0.76982268,37.918811
94,0.76983578,37.936628
95,0.76992198,37.947404
96,0.76923518,37.995211
97,0.76956274,38.001758
98,0.76989789,38.007122
99,0.76989096,38.005559
100,0.7695448,38.014006
101,0.76887667,38.05694
102,0.76799732,38.136057
103,0.7671494,38.209209
104,0.76732841,38.217
105,0.76767148,38.22296
106,0.76764852,38.228366
107,0.76684116,38.294574
108,0.76596669,38.37259
109,0.76596717,38.387363
110,0.76631703,38.39367
111,0.76660407,38.395512
112,0.76682086,38.39345
113,0.76666577,38.391038
114,0.76639091,38.392337
115,0.76587136,38.415254
116,0.76509273,38.476617
117,0.7643114,38.539017
118,0.76412087,38.546871
119,0.76357261,38.587394
120,0.76378155,38.58717
121,0.76358461,38.59319
122,0.76297583,38.641669
123,0.76328708,38.645074
124,0.76351865,38.643657
125,0.76333137,38.641219
126,0.76303059,38.64483
127,0.76245825,38.674107
