tsec,soc,TdegC
0,0.8,25
1,0.800000024,24.9996
2,0.800000053,24.9992002
3,0.800000084,24.9988004
4,0.800000099,24.9984006
5,0.800000112,24.998001
6,0.800000147,24.9976014
7,0.800000171,24.997202
8,0.800000182,24.9968026
9,0.800000202,24.9964032
10,0.800000218,24.996004
11,0.800000248,24.9956048
12,0.800000266,24.9952058
13,0.80000029,24.9948068
14,0.800000303,24.9944078
15,0.800000345,24.994009
16,0.800000363,24.9936102
17,0.800000374,24.9932116
18,0.800000387,24.9928129
19,0.800000426,24.9924144
20,0.800000466,24.992016
21,0.800000481,24.9916176
22,0.800000486,24.9912193
23,0.800000512,24.9908211
24,0.800000541,24.990423
25,0.800000554,24.990025
26,0.800000567,24.989627
27,0.800000591,24.9892291
28,0.8000006,24.9888313
29,0.800000613,24.9884336
30,0.800000628,24.9880359
31,0.80000065,24.9876384
32,0.800000666,24.9872409
33,0.800000694,24.9868435
34,0.800000705,24.9864461
35,0.800000723,24.9860489
36,0.800000769,24.9856517
37,0.8000008,24.9852546
38,0.80000082,24.9848576
39,0.800000855,24.9844607
40,0.800000863,24.9840638
41,0.800000881,24.9836671
42,0.800000896,24.9832704
43,0.800000903,24.9828738
44,0.800000923,24.9824772
45,0.800000929,24.9820808
46,0.80000093,24.9816844
47,0.800000962,24.9812881
48,0.800000993,24.9808919
49,0.80000102,24.9804957
50,0.800001057,24.9800997
51,0.800001085,24.9797037
52,0.800001114,24.9793078
53,0.800001134,24.978912
54,0.800001162,24.9785162
55,0.8000012,24.9781206
56,0.800001206,24.977725
57,0.800001224,24.9773295
58,0.800001239,24.9769341
59,0.80000125,24.9765387
60,0.800001263,24.9761434
61,0.800001272,24.9757482
62,0.800001296,24.9753531
63,0.800001351,24.9749581
64,0.80000136,24.9745632
65,0.800001384,24.9741683
66,0.800001397,24.9737735
67,0.800001421,24.9733788
68,0.800001437,24.9729841
69,0.800001461,24.9725896
70,0.800001477,24.9721951
71,0.800001503,24.9718007
72,0.800001527,24.9714064
73,0.800001549,24.9710121
74,0.800001582,24.970618
75,0.800001595,24.9702239
76,0.800001606,24.9698299
77,0.800001609,24.969436
78,0.800001624,24.9690421
79,0.800001646,24.9686483
80,0.800001655,24.9682547
81,0.800001677,24.967861
82,0.800001708,24.9674675
83,0.800001725,24.9670741
84,0.800001747,24.9666807
85,0.800001775,24.9662874
86,0.800001786,24.9658942
87,0.800001786,24.965501
88,0.8000018,24.965108
89,0.800001826,24.964715
90,0.80000185,24.9643221
91,0.800001859,24.9639293
92,0.800001872,24.9635365
93,0.800001883,24.9631438
94,0.80000192,24.9627513
95,0.800001942,24.9623587
96,0.800001977,24.9619663
97,0.80000199,24.961574
98,0.800001995,24.9611817
99,0.800002021,24.9607895
100,0.80000203,24.9603974
101,0.800002054,24.9600053
102,0.800002096,24.9596134
103,0.800002137,24.9592215
104,0.800002159,24.9588297
105,0.800002186,24.958438
106,0.800002205,24.9580463
107,0.800002223,24.9576547
108,0.80000226,24.9572632
109,0.800002293,24.9568718
110,0.800002311,24.9564805
111,0.800002353,24.9560892
112,0.800002416,24.9556981
113,0.800002447,24.955307
114,0.800002471,24.9549159
115,0.800002476,24.954525
116,0.800002511,24.9541341
117,0.800002542,24.9537433
118,0.800002581,24.9533526
119,0.800002607,24.952962
120,0.80000263,24.9525714
121,0.80000268,24.952181
122,0.800002715,24.9517906
123,0.800002733,24.9514003
124,0.800002768,24.95101
125,0.800002781,24.9506199
126,0.800002794,24.9502298
127,0.800002814,24.9498398
128,0.800002838,24.9494498
129,0.800002864,24.94906
130,0.800002884,24.9486702
131,0.800002906,24.9482805
132,0.800002937,24.9478909
133,0.800002966,24.9475014
134,0.800003018,24.9471119
135,0.800003056,24.9467225
136,0.800003104,24.9463332
137,0.800003117,24.945944
138,0.800003135,24.9455548
139,0.800003163,24.9451658
140,0.800003177,24.9447768
141,0.800003196,24.9443878
142,0.800003209,24.943999
143,0.800003227,24.9436102
144,0.800003247,24.9432216
145,0.800003275,24.942833
146,0.800003328,24.9424444
147,0.800003348,24.942056
148,0.800003354,24.9416676
149,0.800003365,24.9412793
150,0.800003387,24.9408911
151,0.800003387,24.940503
152,0.800003414,24.9401149
153,0.80000344,24.9397269
154,0.800003473,24.939339
155,0.80000348,24.9389512
156,0.800003513,24.9385634
157,0.800003539,24.9381758
158,0.800003545,24.9377882
159,0.800003563,24.9374006
160,0.800003585,24.9370132
161,0.800003598,24.9366258
162,0.800003611,24.9362385
163,0.800003622,24.9358513
164,0.800003646,24.9354642
165,0.800003688,24.9350772
166,0.800003745,24.9346902
167,0.800003756,24.9343033
168,0.800003787,24.9339165
169,0.800003827,24.9335297
170,0.800003864,24.933143
171,0.800003908,24.9327565
172,0.800003928,24.9323699
173,0.800003959,24.9319835
174,0.800003974,24.9315972
175,0.800003998,24.9312109
176,0.800004007,24.9308247
177,0.800004022,24.9304385
178,0.800004046,24.9300525
179,0.800004077,24.9296665
180,0.800004086,24.9292806
181,0.800004121,24.9288948
182,0.800004136,24.9285091
183,0.800004156,24.9281234
184,0.800004191,24.9277378
185,0.800004213,24.9273523
186,0.800004255,24.9269669
187,0.800004275,24.9265815
188,0.800004294,24.9261962
189,0.80000433,24.925811
190,0.800004356,24.9254259
191,0.800004376,24.9250409
192,0.800004393,24.9246559
193,0.800004418,24.924271
194,0.800004446,24.9238862
195,0.800004468,24.9235015
196,0.800004473,24.9231168
197,0.800004482,24.9227322
198,0.800004512,24.9223477
199,0.800004534,24.9219633
200,0.800004572,24.9215789
201,0.800004598,24.9211946
202,0.800004627,24.9208104
203,0.800004642,24.9204263
204,0.800004671,24.9200423
205,0.800004725,24.9196583
206,0.800004758,24.9192744
207,0.800004776,24.9188906
208,0.800004807,24.9185069
209,0.800004822,24.9181232
210,0.800004851,24.9177396
211,0.800004862,24.9173561
212,0.800004913,24.9169727
213,0.800004928,24.9165893
214,0.800004954,24.916206
215,0.800004961,24.9158228
216,0.800004985,24.9154397
217,0.800005007,24.9150567
218,0.800005029,24.9146737
219,0.800005047,24.9142908
220,0.800005088,24.913908
221,0.800005108,24.9135252
222,0.800005128,24.9131426
223,0.800005141,24.91276
224,0.800005178,24.9123775
225,0.800005203,24.911995
226,0.80000524,24.9116127
227,0.800005286,24.9112304
228,0.800005323,24.9108482
229,0.800005372,24.910466
230,0.800005407,24.910084
231,0.80000544,24.909702
232,0.800005481,24.9093201
233,0.800005497,24.9089383
234,0.800005554,24.9085565
235,0.800005594,24.9081748
236,0.800005609,24.9077933
237,0.800005644,24.9074117
238,0.800005655,24.9070303
239,0.800005679,24.9066489
240,0.800005706,24.9062676
241,0.800005725,24.9058864
242,0.800005748,24.9055053
243,0.800005761,24.9051242
244,0.800005776,24.9047432
245,0.8000058,24.9043623
246,0.800005844,24.9039815
247,0.800005851,24.9036007
248,0.800005862,24.90322
249,0.800005908,24.9028394
250,0.800005947,24.9024589
251,0.800005958,24.9020785
252,0.800005978,24.9016981
253,0.800006015,24.9013178
254,0.800006064,24.9009375
255,0.800006077,24.9005574
256,0.800006103,24.9001773
257,0.800006123,24.8997973
258,0.800006176,24.8994174
259,0.800006189,24.8990376
260,0.80000622,24.8986578
261,0.800006229,24.8982781
