tsec,soc
0,0.99
1,0.989952692
2,0.989901802
3,0.989850911
4,0.98980002
5,0.989749128
6,0.989698235
7,0.989647341
8,0.989596447
9,0.989545552
10,0.989494657
11,0.98944376
12,0.989392863
13,0.989341966
14,0.989291067
15,0.989240168
16,0.989189269
17,0.989138368
18,0.989087467
19,0.989036565
20,0.988985663
21,0.988934759
22,0.988883855
23,0.988832596
24,0.988732638
25,0.988497296
26,0.988168742
27,0.987870483
28,0.987516924
29,0.987141968
30,0.986766908
31,0.98639178
32,0.986016599
33,0.985641373
34,0.985266103
35,0.984890795
36,0.984515448
37,0.984147357
38,0.983771936
39,0.983396477
40,0.983020981
41,0.982645447
42,0.982269876
43,0.981894266
44,0.981518906
45,0.981193957
46,0.981057345
47,0.980920729
48,0.980784107
49,0.980647481
50,0.980282609
51,0.979673313
52,0.979063917
53,0.978484401
54,0.978335217
55,0.978190572
56,0.978038139
57,0.977850239
58,0.977662329
59,0.97747441
60,0.977458503
61,0.977458503
62,0.977458503
63,0.977458503
64,0.977458503
65,0.977458503
66,0.977458503
67,0.977458503
68,0.977458503
69,0.977458503
70,0.97741945
71,0.977368289
72,0.977317227
73,0.977266165
74,0.977215102
75,0.977164039
76,0.977112974
77,0.977061909
78,0.977010844
79,0.976959777
80,0.97690871
81,0.976857642
82,0.976806574
83,0.976755505
84,0.976704435
85,0.976653364
86,0.976602293
87,0.976551221
88,0.976500148
89,0.976449075
90,0.976398001
91,0.976346926
92,0.976293694
93,0.976171907
94,0.975960634
95,0.975666136
96,0.975341125
97,0.975039968
98,0.974942822
99,0.974915309
100,0.974887795
101,0.974860281
102,0.974832766
103,0.974805252
104,0.974777737
105,0.974750222
106,0.974722707
107,0.974696363
108,0.974696061
109,0.974696061
110,0.974696061
111,0.974676831
112,0.974625517
113,0.974574415
114,0.974523315
115,0.974472214
116,0.974421113
117,0.974370011
118,0.974318909
119,0.974267806
120,0.974216702
121,0.974165597
122,0.974114492
123,0.974063386
124,0.974012279
125,0.973961171
126,0.973910063
127,0.973858954
128,0.973807845
129,0.973756735
130,0.973705624
131,0.973654512
132,0.9736034
133,0.973552287
134,0.973501173
135,0.973450058
136,0.973398943
137,0.973347827
138,0.973296711
139,0.973245594
