tsec,soc
0,0.99
1,0.989929028
2,0.989852682
3,0.989776334
4,0.989699985
5,0.989623634
6,0.989547281
7,0.989470927
8,0.989394571
9,0.989318214
10,0.989241855
11,0.989165495
12,0.989089133
13,0.989012769
14,0.988936404
15,0.988860037
16,0.988783669
17,0.9887073
18,0.988630928
19,0.988554555
20,0.988478181
21,0.988401805
22,0.988325427
23,0.988248516
24,0.988098508
25,0.987745199
26,0.987251812
27,0.98680394
28,0.986272924
29,0.985709713
30,0.985146316
31,0.984582789
32,0.984019154
33,0.98345542
34,0.982891594
35,0.98232768
36,0.981763681
37,0.981210566
38,0.980646397
39,0.980082144
40,0.979517806
41,0.978953382
42,0.978388873
43,0.977824278
44,0.977260029
45,0.976763379
46,0.97655814
47,0.97635289
48,0.976147628
49,0.975942355
50,0.975393628
51,0.974476907
52,0.97355996
53,0.972687941
54,0.972463727
55,0.97224633
56,0.972017217
57,0.971734762
58,0.971452286
59,0.971169788
60,0.97114588
61,0.97114588
62,0.97114588
63,0.97114588
64,0.97114588
65,0.97114588
66,0.97114588
67,0.97114588
68,0.97114588
69,0.97114588
70,0.971087193
71,0.97101031
72,0.970933576
73,0.970856841
74,0.970780104
75,0.970703365
76,0.970626625
77,0.970549883
78,0.97047314
79,0.970396395
80,0.970319649
81,0.970242901
82,0.970166151
83,0.9700894
84,0.970012647
85,0.969935893
86,0.969859137
87,0.969782379
88,0.96970562
89,0.969628859
90,0.969552097
91,0.969475333
92,0.969395326
93,0.969212239
94,0.968894547
95,0.968451591
96,0.967962672
97,0.967509657
98,0.967363562
99,0.967322204
100,0.967280846
101,0.967239487
102,0.967198128
103,0.967156769
104,0.967115409
105,0.967074048
106,0.967032687
107,0.966993087
108,0.966992288
109,0.966992288
110,0.966992288
111,0.96696322
112,0.966886078
113,0.966809254
114,0.966732434
115,0.966655612
116,0.966578788
117,0.966501963
118,0.966425136
119,0.966348308
120,0.966271478
121,0.966194646
122,0.966117813
123,0.966040979
124,0.965964142
125,0.965887304
126,0.965810465
127,0.965733624
128,0.965656781
129,0.965579937
130,0.965503091
131,0.965426244
132,0.965349395
133,0.965272544
134,0.965195692
135,0.965118839
136,0.965041983
137,0.964965126
138,0.964888268
139,0.964811408
140,0.964734546
141,0.964657683
142,0.964580818
143,0.964503952
144,0.964427084
145,0.964350214
146,0.964273343
147,0.96419647
148,0.964119596
149,0.96404272
150,0.963965842
151,0.963888963
152,0.963812082
153,0.9637352
154,0.963658316
155,0.963581431
156,0.963504544
157,0.963427655
158,0.963350765
159,0.963273873
160,0.96319698
161,0.963120085
162,0.963043188
163,0.962927617
164,0.962641946
165,0.962216781
166,0.961724719
167,0.96126758
168,0.96074059
169,0.960173586
170,0.959606247
171,0.959038794
172,0.958471241
173,0.957906136
174,0.957338408
175,0.956770594
176,0.956215537
177,0.95610238
178,0.956008427
179,0.955914471
180,0.955820513
181,0.955754306
182,0.955695925
183,0.955637544
184,0.955579161
185,0.955520778
186,0.955462393
187,0.955404008
188,0.955338595
189,0.955261715
190,0.955184834
191,0.95510795
192,0.955031066
193,0.95499265
194,0.95499265
195,0.95499265
196,0.95499265
197,0.95499265
198,0.95499265
199,0.95499265
200,0.95499265
201,0.95499265
202,0.954991445
203,0.954923122
204,0.95484587
205,0.954768802
206,0.954691733
207,0.954613126
208,0.954446505
209,0.954192236
210,0.954130995
211,0.954080554
212,0.954030112
213,0.95397967
214,0.953929226
215,0.953878783
216,0.953828338
217,0.953778732
218,0.953746326
219,0.953669046
220,0.953591864
221,0.95351477
222,0.953437675
223,0.953360577
224,0.953283479
225,0.953206378
226,0.953129276
227,0.953052172
228,0.952975067
229,0.95289796
230,0.952820852
231,0.952743742
232,0.95266663
233,0.952589517
234,0.952512402
235,0.952435285
236,0.952358167
237,0.952281047
238,0.952203926
239,0.952126803
240,0.952049679
241,0.951972552
242,0.951895425
243,0.951818295
244,0.951741164
245,0.951664032
246,0.951586898
247,0.951497594
248,0.951270364
249,0.950901134
250,0.950401657
251,0.949953433
252,0.949465821
253,0.94891449
254,0.948345429
255,0.947776244
256,0.947206957
257,0.94663758
258,0.946068115
259,0.945498562
260,0.945243351
261,0.945043454
262,0.944843546
263,0.944643627
264,0.944443697
265,0.944243757
266,0.944043805
267,0.943843843
268,0.94364387
269,0.943443886
270,0.943073647
271,0.942514031
272,0.942388437
273,0.942291933
274,0.942195427
275,0.942098919
276,0.942007466
277,0.942006363
278,0.942005261
279,0.942004159
280,0.942003056
281,0.942001954
282,0.942000852
283,0.941994912
284,0.941974687
285,0.941954462
286,0.941934237
287,0.941932537
288,0.941932537
289,0.941932537
290,0.941932537
291,0.941932537
292,0.941932537
293,0.941932537
294,0.941932537
295,0.94189197
296,0.941814379
297,0.941737039
298,0.941659698
299,0.941582355
300,0.941505011
301,0.941427665
302,0.941350317
303,0.941272968
304,0.941195617
305,0.941117908
306,0.940973991
307,0.940857776
308,0.94078
309,0.940702223
310,0.940624445
311,0.940546665
312,0.940468883
313,0.9403911
314,0.940313315
315,0.940235529
316,0.940157744
317,0.940080029
318,0.940002592
319,0.939925214
320,0.939847835
321,0.939770454
322,0.939693072
323,0.939615688
324,0.939538303
325,0.939460915
326,0.939383527
327,0.939306136
328,0.939228744
329,0.93915135
330,0.939073955
331,0.938996558
332,0.93891916
333,0.93884176
334,0.938764358
335,0.938686954
336,0.938609549
337,0.938532143
338,0.938454735
339,0.938377325
340,0.938299913
341,0.9382225
342,0.938145085
343,0.938067669
344,0.937977545
345,0.937743048
346,0.9373461
347,0.936831998
348,0.936392214
349,0.935971636
350,0.935898693
351,0.935825885
352,0.935753075
353,0.93569184
354,0.93569183
355,0.93569183
356,0.93569183
357,0.935637721
358,0.935560069
359,0.935482598
360,0.935405126
361,0.935327652
362,0.935250177
363,0.9351727
364,0.935095221
365,0.935017741
366,0.934940259
367,0.934862775
368,0.93478529
369,0.934707803
370,0.934630315
371,0.934552824
372,0.934475333
373,0.934397839
374,0.934320344
375,0.934242848
376,0.93416535
377,0.93408785
378,0.934008153
379,0.933832437
380,0.933521521
381,0.933084123
382,0.932584084
383,0.9321304
384,0.931611741
385,0.931043211
386,0.930471352
387,0.929899381
388,0.929327316
389,0.928755162
390,0.928184908
391,0.927612576
392,0.927040154
393,0.926595964
394,0.926595929
395,0.926595929
396,0.926595929
397,0.926595929
398,0.926595929
399,0.926595929
400,0.926595929
401,0.926595929
402,0.926595929
403,0.926595929
404,0.926595929
405,0.926595929
406,0.926595929
407,0.926595929
408,0.926595929
409,0.926595929
410,0.926595929
411,0.926595929
412,0.926595929
413,0.926595929
414,0.926595929
415,0.926595929
416,0.926595929
417,0.926595929
418,0.926595929
419,0.926591232
420,0.926515157
421,0.926437407
422,0.926359744
423,0.92628208
424,0.926204414
425,0.926126747
426,0.926049078
427,0.925971407
428,0.925893735
429,0.925816061
430,0.925738386
431,0.925660708
432,0.92558303
433,0.925505349
434,0.925427667
435,0.925349983
436,0.925272298
437,0.925194611
438,0.925116922
439,0.925028547
440,0.924810671
441,0.924409807
442,0.923896947
443,0.923451421
444,0.922936658
445,0.92236756
446,0.921794365
447,0.921221048
448,0.920647628
449,0.920074116
450,0.919500514
451,0.918926821
452,0.918357859
453,0.917783988
454,0.917210026
455,0.916635974
456,0.916345095
457,0.915876514
458,0.915302253
459,0.914738979
460,0.914713227
461,0.914713227
462,0.914713227
463,0.914713227
464,0.914713227
465,0.914713227
466,0.914713227
467,0.914713227
468,0.914395404
469,0.91405328
470,0.913711123
471,0.913368935
472,0.913026714
473,0.912684462
474,0.912600147
475,0.912600147
476,0.912600147
477,0.912600147
478,0.912600147
479,0.912600147
480,0.912600147
481,0.912600147
482,0.912585836
483,0.912183084
484,0.911610669
485,0.911035813
486,0.910460826
487,0.909885728
488,0.909310528
489,0.908735232
490,0.908159846
491,0.907584368
492,0.9070088
493,0.906433141
494,0.905857391
495,0.90528155
496,0.904705617
497,0.904129594
498,0.903553479
499,0.902977274
500,0.902400977
501,0.901838643
502,0.901300723
503,0.900761211
504,0.900221619
505,0.899681947
506,0.899142195
507,0.898602363
508,0.89806245
509,0.897556683
510,0.897137453
511,0.896718175
512,0.896298848
513,0.895879472
514,0.895460049
515,0.895040576
516,0.894692429
517,0.894355385
518,0.894018309
519,0.893681201
520,0.893344063
521,0.893006894
522,0.892567301
523,0.892048576
524,0.892046654
525,0.892046654
526,0.892046654
527,0.892046654
528,0.892046654
529,0.892046654
530,0.892046654
531,0.892046654
532,0.892046654
533,0.892046654
534,0.892046654
535,0.892046654
536,0.892046654
537,0.892001448
538,0.891443954
539,0.891172493
540,0.891045116
541,0.890917734
542,0.890790347
543,0.890662956
544,0.890436266
545,0.890017588
546,0.889598861
547,0.889180086
548,0.888844486
549,0.888844466
550,0.888728041
551,0.888246808
552,0.88776551
553,0.887284149
554,0.886802724
555,0.886321235
556,0.885839682
557,0.885358066
558,0.884876385
559,0.884715674
560,0.884715674
561,0.884715674
562,0.884715674
563,0.884692769
564,0.884248446
565,0.884055333
566,0.884055333
567,0.884055333
568,0.884055333
569,0.884055333
570,0.884055333
571,0.884055333
572,0.883916244
573,0.88345553
574,0.883009148
575,0.882562711
576,0.88211622
577,0.881669673
578,0.881223071
579,0.880776414
580,0.880329703
581,0.879882936
582,0.879436113
583,0.879156219
584,0.878923397
585,0.87869056
586,0.878457708
587,0.878200244
588,0.877665789
589,0.877085517
590,0.876505116
591,0.8761866
592,0.8761866
593,0.8761866
594,0.8761866
595,0.8761866
596,0.876186438
597,0.876118494
598,0.876039633
599,0.875960893
600,0.875882151
601,0.875803408
602,0.875724663
603,0.875645916
604,0.875567168
605,0.875488418
606,0.875409666
607,0.875330913
608,0.875252157
609,0.8751734
610,0.875094642
611,0.875010462
612,0.874813723
613,0.874486451
614,0.874036714
615,0.873526306
616,0.873073812
617,0.872988375
618,0.872971759
619,0.872955723
620,0.872955405
621,0.872932394
622,0.872874517
623,0.872816639
624,0.872758761
625,0.872700881
626,0.872613672
627,0.872478607
628,0.872343536
629,0.87220846
630,0.872073379
631,0.871956944
632,0.871843048
633,0.871729148
634,0.871615245
635,0.871192561
636,0.870611361
637,0.870051836
638,0.869975012
639,0.869975012
640,0.869884231
641,0.869679348
642,0.869488882
643,0.869298407
644,0.869107921
645,0.868917426
646,0.8687012
647,0.868194117
648,0.867747101
649,0.867486527
650,0.867225935
651,0.866965325
652,0.866704695
653,0.866444047
654,0.86618338
655,0.865922694
656,0.86585617
657,0.865853631
658,0.86559573
659,0.86532145
660,0.865047148
661,0.864772826
662,0.864410566
663,0.863858872
664,0.863276447
665,0.86269386
666,0.862111145
667,0.861528318
668,0.860945387
669,0.860362356
670,0.859780114
671,0.859342896
672,0.858913497
673,0.858484046
674,0.858054545
675,0.857624992
676,0.857183551
677,0.856600307
678,0.85601657
679,0.855432739
680,0.855168384
681,0.854961678
682,0.854754961
683,0.854548232
684,0.854341491
685,0.854094553
686,0.853833761
687,0.853765759
688,0.853765759
689,0.853765759
690,0.853765759
691,0.853765759
692,0.853765759
693,0.853765759
694,0.853758178
695,0.85367993
696,0.85360064
697,0.85352141
698,0.853442179
699,0.853362947
700,0.853283712
701,0.853204476
702,0.853125238
703,0.853045998
704,0.852966757
705,0.852887514
706,0.852808269
707,0.852729022
708,0.852649774
709,0.852570524
710,0.852469064
711,0.85220045
712,0.851774679
713,0.851267527
714,0.850793648
715,0.850243324
716,0.849658674
717,0.84907386
718,0.84848892
719,0.847903868
720,0.847318714
721,0.846733465
722,0.846148121
723,0.845562681
724,0.844977146
725,0.844391517
726,0.843805792
727,0.843219972
728,0.842634055
729,0.841886365
730,0.840935443
731,0.839984118
732,0.839115972
733,0.838956948
734,0.83879948
735,0.838112959
736,0.83716088
737,0.836208547
738,0.835255958
739,0.834878817
740,0.834623773
741,0.83429587
742,0.833958002
743,0.833620102
744,0.833542658
745,0.833542658
746,0.833309236
747,0.833004227
748,0.832595451
749,0.832129238
750,0.831662964
751,0.83119663
752,0.830730235
753,0.830263778
754,0.829797261
755,0.829330683
756,0.828864044
757,0.828500927
758,0.828500917
759,0.828500917
760,0.828500917
761,0.828500917
762,0.828500917
763,0.828500917
764,0.828500917
765,0.828500917
766,0.828500917
767,0.828500917
768,0.828500917
769,0.828456191
770,0.828441542
771,0.828441542
772,0.828441542
