tsec,soc,TdegC
0,0.99,23
1,0.989929598,23.0000647
2,0.989853947,23.0001356
3,0.989778295,23.0002063
4,0.989702642,23.0002771
5,0.989626987,23.0003478
6,0.98955133,23.0004185
7,0.989475672,23.0004892
8,0.989400012,23.0005599
9,0.989324351,23.0006305
10,0.989248688,23.0007011
11,0.989173024,23.0007717
12,0.989097358,23.0008422
13,0.989021691,23.0009127
14,0.988946022,23.0009832
15,0.988870351,23.0010537
16,0.988794679,23.0011242
17,0.988719006,23.0011946
18,0.988643331,23.001265
19,0.988567654,23.0013354
20,0.988491976,23.0014057
21,0.988416297,23.001476
22,0.988340616,23.0015463
23,0.988264405,23.0016176
24,0.988115689,23.0019285
25,0.98776506,23.0034773
26,0.987248408,23.0068081
27,0.987069478,23.008189
28,0.987069478,23.0081857
29,0.987069478,23.0081824
30,0.987069478,23.0081792
31,0.987069478,23.0081759
32,0.987069478,23.0081726
33,0.98688756,23.0102177
34,0.985977823,23.0204569
35,0.985067855,23.0306971
36,0.984157662,23.0409384
37,0.983268906,23.0507228
38,0.982358266,23.0609661
39,0.9814474,23.0712104
40,0.980536308,23.0814557
41,0.979624989,23.0917021
42,0.978713444,23.1019494
43,0.977801671,23.1121978
44,0.976890414,23.1224305
45,0.976195213,23.1294566
46,0.97599167,23.1299176
47,0.975788116,23.1303784
48,0.975584551,23.1308392
49,0.975380974,23.1312998
50,0.974835251,23.1360389
51,0.973922512,23.1462955
52,0.973009546,23.1565531
53,0.972141646,23.1659656
54,0.971918059,23.1665253
55,0.971702446,23.1670341
56,0.971475194,23.1676132
57,0.971194956,23.1685182
58,0.970914698,23.1694229
59,0.970634418,23.1703275
60,0.97061081,23.1703141
61,0.97061081,23.170246
62,0.97061081,23.1701779
63,0.97061081,23.1701098
64,0.97061081,23.1700418
65,0.97061081,23.1699738
66,0.97061081,23.1699058
67,0.97061081,23.1698379
68,0.97061081,23.16977
69,0.97061081,23.1697021
70,0.970552366,23.1696854
71,0.970476172,23.1696894
72,0.970400126,23.1696931
73,0.970324079,23.1696968
74,0.97024803,23.1697005
75,0.97017198,23.1697042
76,0.970095928,23.169708
77,0.970019874,23.1697117
78,0.969943819,23.1697154
79,0.969867763,23.1697191
80,0.969791705,23.1697229
81,0.969715645,23.1697266
82,0.969639584,23.1697303
83,0.969563521,23.169734
84,0.969487457,23.1697378
85,0.969411391,23.1697415
86,0.969335323,23.1697452
87,0.969259254,23.169749
88,0.969183184,23.1697527
89,0.969107112,23.1697564
90,0.969031038,23.1697602
91,0.968954963,23.1697639
92,0.968875672,23.1697742
93,0.968696198,23.1701383
94,0.968380933,23.171316
95,0.967941061,23.1736583
96,0.967375112,23.1775696
97,0.967273288,23.1783057
98,0.967124562,23.1788872
99,0.967083587,23.1788364
100,0.96704261,23.1787857
101,0.967001634,23.1787349
102,0.966960657,23.1786843
103,0.966919679,23.1786336
104,0.966878701,23.1785829
105,0.966837723,23.1785323
106,0.966796744,23.1784817
107,0.966757509,23.1784297
108,0.966757042,23.1783584
109,0.966757042,23.1782871
110,0.966757042,23.1782158
