tsec,soc,TdegC
0,0.99,25
1,0.989964888,24.9992325
2,0.989927079,24.9984684
3,0.989889269,24.9977046
4,0.989851459,24.9969411
5,0.989813649,24.9961778
6,0.989775838,24.9954149
7,0.989738028,24.9946523
8,0.989700216,24.99389
9,0.989662404,24.993128
10,0.989624592,24.9923664
11,0.98958678,24.991605
12,0.989548967,24.9908439
13,0.989511154,24.9900831
14,0.98947334,24.9893227
15,0.989435526,24.9885625
16,0.989397712,24.9878027
17,0.989359897,24.9870431
18,0.989322082,24.9862839
19,0.989284266,24.9855249
20,0.98924645,24.9847663
21,0.989208634,24.984008
22,0.989170817,24.9832499
23,0.989132736,24.9824927
24,0.989058465,24.9818553
25,0.988883543,24.9818339
26,0.988626043,24.9826967
27,0.98828774,24.9847498
28,0.987867952,24.9883313
29,0.987415712,24.9925989
30,0.986963313,24.9968682
31,0.986510814,25.0011381
32,0.986058237,25.0054081
33,0.985605591,25.0096779
34,0.98515288,25.0139473
35,0.984700111,25.0182164
36,0.984247287,25.022485
37,0.983805135,25.0265274
38,0.983352202,25.0307952
39,0.982899214,25.0350624
40,0.98244617,25.0393292
41,0.98199307,25.0435955
42,0.981539915,25.0478613
43,0.981086705,25.0521267
44,0.980633806,25.0563835
45,0.980288154,25.0590572
46,0.980186609,25.058489
47,0.980085062,25.057921
48,0.979983512,25.0573533
49,0.979881959,25.0567858
50,0.979610508,25.0583319
51,0.979157062,25.0625984
52,0.97870356,25.0668644
53,0.978272421,25.0707138
54,0.978160952,25.0701969
55,0.978053456,25.069655
56,0.977940168,25.0691484
57,0.977800511,25.0688037
58,0.977660849,25.0684592
59,0.977521181,25.0681149
60,0.97765801,25.068181
61,0.977939513,25.0693155
62,0.978221931,25.0704623
63,0.978504686,25.0716133
64,0.978786813,25.0727552
65,0.97906672,25.0738656
66,0.979341415,25.0749042
67,0.979579632,25.0754907
68,0.97974087,25.0753168
69,0.979812053,25.0746433
70,0.979783155,25.0738391
71,0.979745169,25.0730454
72,0.979707256,25.072252
73,0.979669343,25.0714588
74,0.97963143,25.070666
75,0.979593517,25.0698735
76,0.979555603,25.0690813
77,0.979517688,25.0682895
78,0.979479773,25.0674979
79,0.979441858,25.0667067
80,0.979403943,25.0659158
81,0.979366027,25.0651252
82,0.97932811,25.0643349
83,0.979290194,25.0635449
84,0.979252277,25.0627553
85,0.979214359,25.0619659
86,0.979176441,25.0611769
87,0.979138523,25.0603882
88,0.979100604,25.0595998
89,0.979062685,25.0588118
90,0.979024766,25.058024
91,0.978986846,25.0572366
92,0.978947325,25.0564527
93,0.978857927,25.0558446
94,0.978701005,25.0556397
95,0.978482222,25.0560104
96,0.978200948,25.0571546
97,0.977859657,25.0592219
98,0.977766085,25.0588818
99,0.97774566,25.0580687
100,0.977725235,25.057256
101,0.97770481,25.0564436
102,0.977684385,25.0556315
103,0.97766396,25.0548198
104,0.977643534,25.0540084
105,0.977623109,25.0531973
106,0.977602683,25.0523865
107,0.977583127,25.0515754
108,0.977665329,25.0509879
109,0.977837619,25.0509072
110,0.977942555,25.0503745
111,0.977938331,25.0495747
112,0.977900241,25.0487909
113,0.977862307,25.0480072
114,0.977824375,25.0472238
115,0.977786443,25.0464407
116,0.977748511,25.0456579
117,0.977710578,25.0448755
118,0.977672645,25.0440933
