tsec,soc,TdegC
0,0.99,23
1,0.989929746,23.0000648
2,0.989854096,23.0001356
3,0.989778444,23.0002064
4,0.98970279,23.0002771
5,0.989627135,23.0003478
6,0.989551478,23.0004185
7,0.98947582,23.0004892
8,0.989400161,23.0005599
9,0.989324499,23.0006305
10,0.989248837,23.0007011
11,0.989173172,23.0007717
12,0.989097506,23.0008422
13,0.989021839,23.0009128
14,0.98894617,23.0009833
15,0.9888705,23.0010537
16,0.988794828,23.0011242
17,0.988719154,23.0011946
18,0.988643479,23.001265
19,0.988567803,23.0013354
20,0.988492125,23.0014057
21,0.988416445,23.0014761
22,0.988340764,23.0015464
23,0.988264553,23.0016177
24,0.988115837,23.0019285
25,0.987765209,23.0034773
26,0.987248557,23.0068081
27,0.986569114,23.0125453
28,0.985725161,23.0213827
29,0.984815533,23.0316151
30,0.983905472,23.0418531
31,0.982995092,23.0520943
32,0.982084441,23.0623375
33,0.981173537,23.0725823
34,0.980262382,23.0828285
35,0.979350995,23.0930758
36,0.978439381,23.1033242
37,0.977549239,23.1131142
38,0.976637177,23.1233646
39,0.975724887,23.1336161
40,0.97481237,23.1438687
41,0.973899626,23.1541222
42,0.972986654,23.1643768
43,0.972073454,23.1746325
44,0.971160769,23.1848724
45,0.97046448,23.1918957
46,0.970260623,23.1923333
47,0.970056755,23.1927708
48,0.969852876,23.1932082
49,0.969648985,23.1936454
50,0.96910241,23.1983746
51,0.968188239,23.2086386
52,0.967273839,23.2189037
53,0.966404576,23.2283212
54,0.966180643,23.2288578
55,0.965964697,23.2293434
56,0.965737093,23.2298997
57,0.965456421,23.2307828
58,0.965175728,23.2316656
59,0.964895014,23.2325483
60,0.965168798,23.2342441
61,0.965731927,23.2380753
62,0.966296837,23.2419299
63,0.966862377,23.2457917
64,0.967426624,23.2496339
65,0.9679864,23.2534124
66,0.968535745,23.2570464
67,0.969012286,23.2597772
68,0.969335086,23.2609881
69,0.969477707,23.2611976
70,0.969419729,23.2611445
71,0.969343512,23.2611119
72,0.969267444,23.2610791
73,0.969191373,23.2610463
74,0.969115301,23.2610136
75,0.969039228,23.2609808
76,0.968963153,23.2609481
77,0.968887076,23.2609153
78,0.968810998,23.2608826
79,0.968734918,23.2608499
80,0.968658837,23.2608173
81,0.968582754,23.2607846
82,0.96850667,23.260752
83,0.968430584,23.2607193
84,0.968354496,23.2606867
85,0.968278407,23.2606541
86,0.968202317,23.2606216
87,0.968126225,23.260589
88,0.968050131,23.2605564
89,0.967974036,23.2605239
90,0.967897939,23.2604914
91,0.96782184,23.2604589
92,0.967742525,23.2604329
93,0.967562996,23.260761
94,0.967247635,23.2619032
95,0.966807628,23.2642108
96,0.966241505,23.2680883
97,0.965554059,23.2738438
98,0.965365856,23.2747132
99,0.96532486,23.2746242
100,0.965283865,23.2745351
101,0.965242869,23.2744461
102,0.965201873,23.2743572
103,0.965160876,23.2742683
104,0.965119878,23.2741794
105,0.965078881,23.2740905
106,0.965037882,23.2740017
107,0.964998629,23.2739116
108,0.965163377,23.2742699
109,0.965508446,23.2756434
110,0.965718752,23.2761104
111,0.965710259,23.2760406
112,0.965633795,23.2760025
113,0.965557644,23.2759639
114,0.965481498,23.2759253
115,0.96540535,23.2758868
116,0.965329201,23.2758482
117,0.96525305,23.2758097
