tsec,soc
0,0.99
1,0.989952742
2,0.989901852
3,0.989850961
4,0.98980007
5,0.989749178
6,0.989698285
7,0.989647391
8,0.989596497
9,0.989545602
10,0.989494707
11,0.98944381
12,0.989392913
13,0.989342016
14,0.989291117
15,0.989240218
16,0.989189318
17,0.989138418
18,0.989087517
19,0.989036615
20,0.988985713
21,0.988934809
22,0.988883905
23,0.988832646
24,0.988732688
25,0.988497346
26,0.988151354
27,0.987697192
28,0.987132192
29,0.986524271
30,0.985916117
31,0.985307804
32,0.984699362
33,0.984090803
34,0.983482134
35,0.982873363
36,0.982264491
37,0.981670151
38,0.981061083
39,0.980451917
40,0.979842651
41,0.979233286
42,0.978623821
43,0.978014256
44,0.977405167
45,0.976939663
46,0.976802896
47,0.976666124
48,0.976529346
49,0.976392564
50,0.976027274
51,0.97541728
52,0.974807185
53,0.974227004
54,0.974077649
55,0.97393284
56,0.973780232
57,0.973592117
58,0.973403993
59,0.973215859
60,0.973400242
61,0.973779998
62,0.974160976
63,0.974542406
64,0.974922986
65,0.975300561
66,0.975671121
67,0.975992769
68,0.976210376
69,0.976309988
70,0.976271411
71,0.976220234
72,0.976169157
73,0.976118079
74,0.976067
75,0.976015921
76,0.975964841
77,0.97591376
78,0.975862679
79,0.975811597
80,0.975760514
81,0.97570943
82,0.975658346
83,0.975607261
84,0.975556176
85,0.975505089
86,0.975454002
87,0.975402915
88,0.975351826
89,0.975300737
90,0.975249647
91,0.975198557
92,0.975145308
93,0.975023484
94,0.974812146
95,0.974517557
96,0.97413991
97,0.97368029
98,0.973569413
99,0.973541889
100,0.973514365
101,0.973486841
102,0.973459317
103,0.973431792
104,0.973404267
105,0.973376742
106,0.973349217
107,0.973322863
108,0.97343348
109,0.973665748
110,0.973808906
111,0.973806122
112,0.973754796
113,0.973703682
114,0.97365257
115,0.973601458
116,0.973550345
117,0.973499231
118,0.973448116
119,0.973397001
120,0.973345885
121,0.973294769
122,0.973243652
123,0.973192534
124,0.973141415
125,0.973090296
126,0.973039175
127,0.972988055
128,0.972936933
129,0.972885811
130,0.972834688
131,0.972783565
132,0.97273244
133,0.972681315
134,0.97263019
135,0.972579063
136,0.972527936
137,0.972476808
138,0.97242568
139,0.972374551
140,0.972323421
141,0.97227229
142,0.972221159
143,0.972170027
144,0.972118894
145,0.972067761
146,0.972016627
147,0.971965492
148,0.971914357
149,0.97186322
150,0.971812083
151,0.971760946
152,0.971709808
153,0.971658669
154,0.971607529
155,0.971556388
156,0.971505247
157,0.971454106
158,0.971402963
159,0.97135182
160,0.971300676
161,0.971249531
162,0.971198386
163,0.971121525
164,0.970930382
165,0.970647797
166,0.970274109
167,0.969809539
168,0.969252047
169,0.968641321
170,0.968030164
171,0.96741887
172,0.966807458
173,0.966199319
174,0.965587705
175,0.96497599
176,0.964387095
177,0.964312438
178,0.964249951
179,0.964187464
180,0.964124976
181,0.964080942
182,0.964042112
183,0.964003283
184,0.963964453
185,0.963925622
186,0.963886792
187,0.96384796
188,0.963804456
189,0.963753327
190,0.963702197
191,0.963651066
192,0.963599935
193,0.963620819
194,0.96398318
195,0.964365286
196,0.964745819
197,0.965122989
198,0.965493775
199,0.965828049
200,0.966080266
201,0.966249209
202,0.966306687
203,0.966261283
204,0.966209946
205,0.966158732
206,0.966107516
207,0.96605528
208,0.965944579
209,0.965775673
210,0.965734977
211,0.965701458
212,0.965667938
213,0.965634418
214,0.965600898
215,0.965567377
216,0.965533856
217,0.965500892
218,0.965479358
219,0.965428008
220,0.965376723
221,0.965325498
222,0.965274271
223,0.965223043
224,0.965171815
225,0.965120587
226,0.965069357
227,0.965018127
228,0.964966896
229,0.964915664
230,0.964864432
231,0.964813199
232,0.964761965
233,0.964710731
234,0.964659496
235,0.96460826
236,0.964557023
237,0.964505786
238,0.964454548
239,0.964403309
240,0.96435207
241,0.96430083
242,0.964249589
243,0.964198348
244,0.964147105
245,0.964095862
246,0.964044619
247,0.963985292
248,0.963833161
249,0.963588011
