tsec,soc
0,0.99
1,0.989929103
2,0.989852757
3,0.989776409
4,0.989700059
5,0.989623708
6,0.989547356
7,0.989471002
8,0.989394646
9,0.989318289
10,0.98924193
11,0.989165569
12,0.989089207
13,0.989012844
14,0.988936479
15,0.988860112
16,0.988783744
17,0.988707374
18,0.988631003
19,0.98855463
20,0.988478256
21,0.98840188
22,0.988325502
23,0.98824859
24,0.988098583
25,0.987745274
26,0.987225144
27,0.986538972
28,0.985691376
29,0.98477761
30,0.983863402
31,0.982948867
32,0.982034062
33,0.981119005
34,0.980203706
35,0.979288177
36,0.978372422
37,0.977478435
38,0.976562231
39,0.9756458
40,0.974729143
41,0.973812257
42,0.972895145
43,0.971977805
44,0.971060979
45,0.970369276
46,0.970163685
47,0.969958082
48,0.969752467
49,0.969546842
50,0.968997166
51,0.968078857
52,0.967160319
53,0.966296136
54,0.966075202
55,0.965857432
56,0.965627925
57,0.965344984
58,0.965062022
59,0.964779038
60,0.965056131
61,0.965626425
62,0.96619853
63,0.966771286
64,0.967342739
65,0.967909654
66,0.968466024
67,0.968948376
68,0.969275144
69,0.969422135
70,0.969364024
71,0.969287105
72,0.969210336
73,0.969133565
74,0.969056792
75,0.968980018
76,0.968903243
77,0.968826465
78,0.968749686
79,0.968672906
80,0.968596124
81,0.96851934
82,0.968442555
83,0.968365769
84,0.96828898
85,0.96821219
86,0.968135399
87,0.968058606
88,0.967981811
89,0.967905015
90,0.967828217
91,0.967751418
92,0.967671373
93,0.967488202
94,0.967170363
95,0.966727201
96,0.966157418
97,0.965463017
98,0.965280519
99,0.965239138
100,0.965197756
101,0.965156375
102,0.965114992
103,0.96507361
104,0.965032227
105,0.964990843
106,0.964949459
107,0.964909836
108,0.965077197
109,0.965426444
110,0.965640675
111,0.965633549
112,0.96555638
113,0.965479528
114,0.96540268
115,0.965325831
116,0.96524898
117,0.965172127
118,0.965095273
119,0.965018417
120,0.96494156
121,0.964864701
122,0.96478784
123,0.964710978
124,0.964634114
125,0.964557249
126,0.964480382
127,0.964403513
128,0.964326643
129,0.964249772
130,0.964172898
131,0.964096024
132,0.964019147
133,0.963942269
134,0.96386539
135,0.963788508
136,0.963711626
137,0.963634741
138,0.963557855
139,0.963480968
140,0.963404079
141,0.963327188
142,0.963250295
143,0.963173402
144,0.963096506
145,0.963019609
146,0.96294271
147,0.96286581
148,0.962788908
149,0.962712005
150,0.9626351
151,0.962558193
152,0.962481285
153,0.962404375
154,0.962327464
155,0.962250551
156,0.962173636
157,0.96209672
158,0.962019802
159,0.961942883
160,0.961865962
161,0.961789039
162,0.961712115
163,0.961596503
164,0.961308894
165,0.960883577
166,0.960319706
167,0.959617676
168,0.958778794
169,0.957858715
170,0.95693772
171,0.95601644
172,0.955094903
173,0.954177437
174,0.953255426
175,0.952333183
176,0.951469168
177,0.951368783
178,0.95127471
179,0.951180635
180,0.951086557
181,0.951020265
182,0.95096181
183,0.950903354
184,0.950844897
185,0.950786439
186,0.95072798
187,0.95066952
188,0.950604023
189,0.950527045
190,0.950450065
191,0.950373084
192,0.950296101
193,0.950327434
194,0.950872329
195,0.951446905
196,0.952019095
197,0.952586233
198,0.953143734
199,0.953646191
200,0.954025197
201,0.954279429
202,0.954364005
203,0.954295157
204,0.954217893
205,0.954140812
206,0.95406373
207,0.95398511
208,0.953818461
209,0.953564149
210,0.953502897
211,0.953452447
212,0.953401997
213,0.953351546
214,0.953301094
215,0.953250642
216,0.953200189
217,0.953150574
218,0.953118163
219,0.95304087
220,0.952963675
221,0.952886568
222,0.952809459
223,0.952732349
224,0.952655237
225,0.952578124
226,0.952501009
227,0.952423892
228,0.952346773
229,0.952269653
230,0.952192532
231,0.952115409
232,0.952038284
233,0.951961158
234,0.95188403
235,0.9518069
236,0.951729769
237,0.951652636
238,0.951575502
239,0.951498366
240,0.951421228
241,0.951344089
242,0.951266948
243,0.951189806
244,0.951112662
245,0.951035516
246,0.950958369
247,0.95086905
248,0.950639941
249,0.950270648
250,0.949771086
251,0.949140058
252,0.948380376
253,0.947493397
254,0.946569824
255,0.945645947
256,0.944721802
257,0.943797414
258,0.942872791
259,0.941947935
260,0.941628867
261,0.941428774
262,0.94122867
263,0.941028555
264,0.94082843
265,0.940628294
266,0.940428147
267,0.940227989
268,0.94002782
269,0.93982764
270,0.939327676
271,0.938422819
272,0.938293466
273,0.938196856
274,0.938100243
275,0.938003627
276,0.937914651
277,0.937913548
278,0.937912444
279,0.937911341
280,0.937910237
281,0.937909134
282,0.93790803
283,0.937902084
284,0.937881836
285,0.937861589
286,0.937841342
287,0.938117675
288,0.938694788
289,0.939271105
290,0.939843861
291,0.940407931
292,0.940925794
293,0.941294341
294,0.941498384
295,0.941471294
296,0.941393694
297,0.941316345
298,0.941238995
299,0.941161644
300,0.941084291
301,0.941006936
302,0.940929579
303,0.940852221
304,0.940774862
305,0.940697144
306,0.940553211
307,0.94044168
308,0.940363896
309,0.94028611
310,0.940208323
311,0.940130535
312,0.940052744
313,0.939974952
314,0.939897159
315,0.939819363
316,0.93974157
317,0.939663846
318,0.9395864
319,0.939509014
320,0.939431626
321,0.939354237
322,0.939276846
323,0.939199453
324,0.939122059
325,0.939044663
326,0.938967265
327,0.938889866
328,0.938812465
329,0.938735063
330,0.938657659
331,0.938580253
332,0.938502846
333,0.938425437
334,0.938348027
335,0.938270614
336,0.938193201
337,0.938115785
338,0.938038368
339,0.93796095
340,0.93788353
341,0.937806108
342,0.937728684
343,0.937651259
344,0.937561125
345,0.937326266
346,0.936929273
347,0.93639787
348,0.935730835
349,0.935123046
350,0.935050223
351,0.934977398
352,0.934904572
353,0.934843917
354,0.935046696
355,0.935380308
356,0.935543952
357,0.93549146
358,0.935413804
359,0.93533633
