tsec,soc
0,0.99
1,0.989929103
2,0.989852757
3,0.989776409
4,0.98970006
5,0.989623709
6,0.989547356
7,0.989471002
8,0.989394646
9,0.989318289
10,0.98924193
11,0.98916557
12,0.989089208
13,0.989012844
14,0.988936479
15,0.988860112
16,0.988783744
17,0.988707374
18,0.988631003
19,0.98855463
20,0.988478256
21,0.98840188
22,0.988325502
23,0.988248591
24,0.988098583
25,0.987745274
26,0.987225675
27,0.986543395
28,0.985694285
29,0.984780494
30,0.983866275
31,0.982951742
32,0.982036937
33,0.981121881
34,0.980206583
35,0.979291055
36,0.9783753
37,0.977481358
38,0.976565155
39,0.97564873
40,0.974732079
41,0.9738152
42,0.972898095
43,0.971980762
44,0.97106407
45,0.970355351
46,0.970149759
47,0.969944155
48,0.96973854
49,0.969532913
50,0.968983236
51,0.968064923
52,0.967146382
53,0.966272847
54,0.966048247
55,0.965830475
56,0.965600966
57,0.965318023
58,0.965035059
59,0.964752073
60,0.965029003
61,0.965599309
62,0.966171419
63,0.966744179
64,0.967315634
65,0.967882552
66,0.968438919
67,0.968921889
68,0.969248715
69,0.969398362
70,0.969340381
71,0.969263462
72,0.969186692
73,0.969109921
74,0.969033148
75,0.968956373
76,0.968879597
77,0.968802819
78,0.96872604
79,0.968649259
80,0.968572477
81,0.968495693
82,0.968418907
83,0.96834212
84,0.968265331
85,0.96818854
86,0.968111748
87,0.968034955
88,0.96795816
89,0.967881363
90,0.967804565
91,0.967727765
92,0.96764772
93,0.967464548
94,0.967146706
95,0.966703542
96,0.966135271
97,0.965443457
98,0.965276651
99,0.96523527
100,0.965193889
101,0.965152507
102,0.965111125
103,0.965069742
104,0.965028359
105,0.964986975
106,0.964945591
107,0.964905968
108,0.965071762
109,0.965421024
110,0.965635429
111,0.965630931
112,0.965553762
113,0.96547691
114,0.965400062
115,0.965323213
116,0.965246362
117,0.965169509
118,0.965092655
119,0.965015799
120,0.964938942
121,0.964862083
122,0.964785222
123,0.96470836
124,0.964631496
125,0.964554631
126,0.964477764
127,0.964400895
128,0.964324025
129,0.964247153
130,0.96417028
131,0.964093405
132,0.964016529
133,0.96393965
134,0.963862771
135,0.96378589
136,0.963709007
137,0.963632122
138,0.963555236
139,0.963478349
140,0.963401459
141,0.963324569
142,0.963247676
143,0.963170782
144,0.963093887
145,0.96301699
146,0.962940091
147,0.962863191
148,0.962786289
149,0.962709385
150,0.96263248
151,0.962555573
152,0.962478665
153,0.962401755
154,0.962324844
155,0.962247931
156,0.962171016
157,0.9620941
158,0.962017182
159,0.961940263
160,0.961863342
161,0.961786419
162,0.961709495
163,0.961593882
164,0.961308108
165,0.960882791
166,0.960320186
167,0.959620537
168,0.958780668
169,0.95786039
170,0.956939383
171,0.956018091
172,0.955096543
173,0.954179859
174,0.953257849
175,0.952335608
176,0.95144774
177,0.951334437
178,0.951240363
179,0.951146287
180,0.951052208
181,0.950985916
182,0.95092746
183,0.950869003
184,0.950810545
185,0.950752087
186,0.950693627
187,0.950635167
188,0.95056967
189,0.950492691
190,0.950415711
191,0.950338729
192,0.950261745
193,0.95029315
194,0.950838076
195,0.951412643
196,0.951984817
197,0.952551911
198,0.953109388
199,0.953611993
200,0.953991289
201,0.954245405
202,0.954331878
203,0.954263543
204,0.954186278
205,0.954109196
206,0.954032113
207,0.953953492
208,0.953786842
209,0.953532527
210,0.953471275
211,0.953420825
212,0.953370375
213,0.953319923
214,0.953269471
215,0.953219018
216,0.953168565
217,0.953118949
218,0.953086538
219,0.953009245
220,0.952932049
221,0.952854941
222,0.952777832
223,0.952700721
224,0.952623608
225,0.952546494
226,0.952469378
227,0.952392261
228,0.952315142
229,0.952238021
230,0.952160899
231,0.952083775
232,0.95200665
233,0.951929523
234,0.951852394
235,0.951775264
236,0.951698132
237,0.951620999
238,0.951543864
239,0.951466727
240,0.951389589
241,0.951312449
242,0.951235307
243,0.951158164
244,0.95108102
245,0.951003873
246,0.950926725
247,0.950837406
248,0.950610135
249,0.950240839
250,0.949741273
251,0.949113267
252,0.948353277
253,0.947465345
254,0.94654175
255,0.945617853
256,0.944693692
257,0.943769296
258,0.942844666
259,0.941919803
260,0.94158446
261,0.941384365
262,0.941184259
263,0.940984142
264,0.940784014
265,0.940583875
266,0.940383726
267,0.940183565
268,0.939983394
269,0.939783212
270,0.939306035
271,0.938401173
272,0.938271819
273,0.938175208
274,0.938078595
275,0.937981979
276,0.937890423
277,0.93788932
278,0.937888216
279,0.937887113
280,0.937886009
281,0.937884906
282,0.937883802
283,0.937877856
284,0.937857608
285,0.937837361
286,0.937817113
287,0.938093598
288,0.938670715
289,0.939247019
290,0.939819726
291,0.940383709
292,0.94090152
293,0.941269855
294,0.941474199
295,0.941447457
296,0.941369856
297,0.941292508
298,0.941215157
299,0.941137805
300,0.941060451
301,0.940983096
302,0.940905739
303,0.94082838
304,0.94075102
305,0.940673302
306,0.940529368
307,0.940413138
308,0.940335353
309,0.940257567
310,0.94017978
311,0.94010199
312,0.940024199
313,0.939946407
314,0.939868613
315,0.939790817
316,0.939713023
317,0.939635298
318,0.939557852
319,0.939480465
320,0.939403076
321,0.939325686
322,0.939248295
323,0.939170902
324,0.939093507
325,0.93901611
326,0.938938712
327,0.938861312
328,0.938783911
329,0.938706508
330,0.938629103
331,0.938551697
332,0.938474289
333,0.93839688
334,0.938319469
335,0.938242056
336,0.938164642
337,0.938087226
338,0.938009808
339,0.937932389
340,0.937854968
341,0.937777546
342,0.937700122
343,0.937622696
344,0.937532561
345,0.937298036
346,0.93690104
347,0.936369935
348,0.93570673
349,0.935108321
350,0.935035362
351,0.934962537
352,0.93488971
353,0.934829046
354,0.935031386
355,0.93536491
356,0.935530588
357,0.93547878
358,0.935401124
359,0.93532365
